arm,idx,E,CCx,PL_PF,hit,perm
minE,0,-0.0,1.5001,0.8229,1,97 55 96 91 61 19 98 20 95 45 63 8 88 46 64 42 62 43 35 81 58 9 93 75 28 82 22 47 23 2 53 10 52 51 56 44 59 80 94 38 57 3 21 37 69 87 83 65 40 7 105 14 33 15 77 71 39 6 104 50 48 25 73 29 60 67 18 86 84 24 103 27 54 72 99 85 12 30 31 34 66 79 106 92 49 32 68 16 102 74 101 107
maxE,0,1.0,1.541,0.7013,1,56 49 50 14 54 83 55 85 5 45 69 46 95 17 16 87 101 3 22 9 63 8 68 81 94 75 58 82 57 80 70 40 28 39 100 44 21 15 2 76 64 7 52 74 72 91 27 10 37 30 59 107 78 79 29 4 38 102 26 71 47 103 19 6 42 61 32 92 41 105 20 12 43 62 66 86 11 97 84 0 48 60 31 90 53 98 25 13 36 67 33 93
minE,1,-0.0,1.5455,0.7053,1,57 17 51 11 21 23 63 29 82 80 64 45 87 78 73 66 99 92 107 43 103 84 81 100 90 79 101 7 91 8 96 76 104 70 83 47 97 44 10 75 85 89 98 86 37 60 42 38 24 67 95 65 36 18 6 74 31 25 14 102 3 55 20 58 94 105 52 69 4 50 26 53 54 49 46 68 9 19 27 22 93 30 16 34 39 56 15 59 62 106 88 33
maxE,1,1.0,1.5128,0.61,1,6 46 50 87 43 49 13 54 22 103 79 73 82 51 100 25 52 91 58 86 75 90 64 92 95 55 71 20 23 93 29 32 70 85 14 19 28 21 59 26 94 60 18 63 69 76 98 4 88 62 53 39 68 77 97 65 89 61 17 3 81 72 105 30 16 7 48 44 47 37 106 24 10 8 57 74 40 38 104 31 9 0 42 45 78 84 99 66 15 1 12 36
minE,2,0.0,1.4873,0.5291,1,85 50 79 43 86 44 49 48 18 27 94 22 61 81 82 34 3 98 75 13 74 25 80 63 105 14 84 23 59 21 58 26 45 69 57 20 8 33 51 28 15 70 16 32 91 46 76 38 100 97 10 2 92 47 77 37 106 7 4 9 89 40 93 88 62 55 36 29 95 5 99 6 103 54 72 101 83 11 90 19 56 60 42 65 53 39 52 1 68 73 0 35
maxE,2,1.0,1.5385,0.621,1,45 58 5 52 9 16 87 94 67 20 6 56 42 51 2 31 44 7 1 25 38 19 36 14 73 27 66 15 13 33 8 68 57 21 12 43 96 22 79 26 91 23 78 18 59 32 85 34 61 62 39 48 95 103 84 29 55 98 75 54 71 47 99 50 60 100 82 86 65 41 63 4 0 106 83 81 35 11 105 3 80 28 10 46 70 53 93 77 37 101 88 92
minE,3,0.0,1.5277,0.5291,1,80 92 45 19 85 91 74 69 71 56 51 44 31 68 46 61 8 50 88 43 3 93 11 98 2 60 63 104 17 13 23 26 29 32 64 20 12 54 27 55 14 100 16 62 59 70 39 25 48 65 6 89 87 94 52 24 49 101 42 83 79 96 58 82 37 67 4 21 78 90 84 76 38 30 10 86 73 97 15 7 36 18 47 99 72 53 57 81 1 103 5 22
maxE,3,1.0,1.5312,0.6323,1,56 43 21 37 20 42 57 79 98 71 100 3 26 89 62 5 99 29 106 83 104 17 105 77 92 39 96 40 74 23 63 10 94 38 61 36 97 81 68 28 102 4 103 46 86 84 31 60 66 101 59 32 80 78 30 54 67 95 58 47 85 49 33 12 14 65 53 7 45 13 69 18 15 93 16 19 90 55 34 6 8 82 76 1 87 50 27 48 51 64 75 2
minE,4,0.0,1.5,0.6466,1,91 47 85 89 92 11 79 83 51 95 50 103 43 96 93 57 86 97 87 55 14 66 88 60 21 98 39 26 16 68 9 33 10 25 52 99 81 24 45 67 46 30 15 106 82 53 90 3 100 32 38 40 76 17 54 2 94 31 74 41 105 59 78 6 28 20 44 58 63 61 84 12 29 19 56 18 104 23 73 48 22 37 8 64 62 65 72 7 27 13 80 70
maxE,4,1.0,1.4682,0.52,1,57 58 9 98 48 46 50 75 51 20 29 44 53 12 81 27 52 56 72 24 86 19 2 90 80 18 61 31 4 73 74 28 79 22 40 21 78 26 8 32 25 7 76 23 70 1 69 106 91 67 107 85 34 0 33 94 62 55 101 49 54 87 63 36 14 45 17 97 105 88 41 37 13 10 95 103 84 39 68 42 15 65 11 71 104 93 64 6 16 59 99 96
