pl_t,e_t,rep,PL,PL_PF,E,CC,hit_pl,hit_E,perm
1.1,0.05,0,0.966804,1.0678,0.3264,591052.2,1,0,68 101 16 94 39 70 91 7 4 31 44 74 2 43 49 26 66 88 67 79 32 100 56 33 97 23 15 92 48 52 80 83 42 75 10 95 87 14 3 54 24 36 105 12 89 19 35 77 1 64 50 65 106 84 90 40 96 81 11 63 102 8 0 71 107 20
1.1,0.05,1,1.025603,1.1328,0.0475,669229.4,1,1,95 100 102 104 83 36 38 72 35 89 66 69 64 67 44 33 48 92 97 101 16 13 73 87 96 68 23 1 59 19 94 85 26 88 29 52 34 10 65 58 24 60 12 103 43 39 75 77 106 46 61 28 30 47 99 50 55 0 49 51 82 27 18 37 78 79
1.1,0.05,2,1.025657,1.1328,0.0476,558113.5,1,1,61 66 42 71 25 22 54 91 57 85 75 76 0 97 104 40 14 46 58 38 84 65 27 77 107 9 81 10 3 52 17 48 95 50 7 1 100 103 90 59 87 28 49 82 67 21 6 5 55 78 2 24 93 47 20 94 30 73 92 35 56 98 60 68 36 53
1.1,0.74,0,1.025611,1.1328,0.6825,675531.7,1,1,61 70 94 41 62 52 106 5 7 96 22 90 83 104 91 13 71 53 59 68 47 66 103 21 107 3 78 99 39 57 15 69 34 46 64 81 1 101 10 14 55 98 28 24 65 20 74 42 67 16 87 75 4 89 105 50 2 77 26 18 44 51 97 85 49 35
1.1,0.74,1,0.978206,1.0804,0.74,626197.3,1,1,6 79 0 50 45 66 2 20 71 103 85 15 104 9 84 97 96 80 8 54 60 74 52 38 94 82 17 62 107 4 46 19 102 28 1 42 43 29 68 93 30 12 95 59 48 58 49 35 56 63 61 25 47 91 5 23 22 39 13 81 55 32 106 36 14 10
1.1,0.74,2,1.025101,1.1322,0.6824,591525.7,1,1,13 36 78 49 37 76 97 61 1 83 40 68 42 69 100 72 102 43 93 105 104 50 88 52 58 29 24 79 90 38 25 18 6 63 82 12 39 57 34 73 89 28 9 64 59 77 19 16 75 44 35 94 95 48 22 15 30 99 26 60 3 84 31 101 71 11
1.33,0.05,0,1.173586,1.2962,0.3295,593888.3,1,0,19 41 3 93 1 51 67 90 64 107 9 32 31 85 7 88 50 26 87 20 54 66 59 70 58 76 63 39 21 84 86 17 98 14 16 82 29 89 78 99 101 11 77 94 42 69 91 27 96 68 97 47 46 49 4 6 74 2 83 52 106 18 33 92 13 79
1.33,0.05,1,1.175485,1.2983,0.2382,578755.3,1,0,57 104 40 19 94 56 15 4 97 37 33 58 3 10 77 69 87 103 9 99 43 64 7 6 62 22 48 12 36 45 35 49 24 14 90 60 61 88 93 16 106 34 98 2 100 17 28 52 78 82 73 101 47 107 32 80 29 18 39 25 11 85 79 23 53 20
1.33,0.05,2,1.168613,1.2907,0.0712,587113.8,1,1,79 66 49 18 29 1 4 87 60 23 90 84 86 85 102 33 103 73 105 7 48 68 88 13 83 30 21 58 64 71 27 51 36 101 77 0 53 107 28 14 75 35 69 93 31 9 26 24 82 55 25 15 20 10 57 70 62 40 44 67 54 46 80 19 50 100
1.33,0.74,0,1.239915,1.3695,0.7375,660714.8,1,1,103 33 67 79 31 19 105 53 70 34 95 25 41 83 78 100 4 27 39 3 92 98 101 12 96 61 75 72 60 28 51 22 106 69 35 21 43 88 63 55 29 32 104 62 1 2 45 86 48 52 40 82 14 81 47 57 37 5 15 59 11 74 65 6 56 73
1.33,0.74,1,1.239428,1.3689,0.7373,674272.2,1,1,3 15 62 69 34 23 48 45 81 33 9 18 11 103 31 30 66 46 5 39 16 94 104 17 13 99 2 35 97 53 106 26 95 24 82 65 91 12 76 84 67 70 93 0 7 92 73 68 102 105 22 32 43 37 75 38 74 41 77 57 1 54 72 88 42 47
1.33,0.74,2,1.240197,1.3698,0.7374,534942.9,1,1,82 105 29 61 67 60 58 9 77 102 93 59 75 62 99 30 44 66 100 38 76 71 11 74 89 28 64 97 70 106 40 10 96 80 103 104 95 6 98 39 47 21 86 7 54 52 4 32 46 85 94 2 42 37 3 13 91 53 22 33 8 25 41 50 12 5
