pl_t,e_t,rep,PL,PL_PF,E,CC,hit_pl,hit_E,perm
1.1,0.05,0,0.418566,1.0671,0.1607,163932.1,1,0,49 53 88 38 48 52 51 86 97 43 44 17 23 2 12 14 64 74 69 27 26 91 41 30 59 54 7 32 24 63 65 95 47 93 10 18 61 5 34 100 13 35 58 80 20 25 60 19 31 92 81 101 84 77 33 67 1 45 9 99 28 8 72 102 78 3 11 37 96 42 90 22 50 16 66 15 104 40 73 98 68 107 62 87 106 6 103 71 55 70 0 89
1.1,0.05,1,0.438414,1.1177,0.05,181553.5,1,1,81 84 102 104 83 79 55 78 35 89 98 95 52 9 91 33 94 3 82 61 16 13 5 64 66 54 56 1 49 19 107 85 67 0 29 12 34 15 65 58 24 10 37 60 45 39 48 7 31 46 8 26 70 47 99 50 6 69 30 51 73 23 103 28 90 92 22 96 27 86 59 53 97 72 63 74 21 87 75 100 4 93 77 106 80 57 76 88 14 32 101 41
1.1,0.05,2,0.426143,1.0864,0.05,171461.3,1,1,58 13 17 27 94 22 51 4 1 106 26 25 7 31 16 85 6 57 33 24 84 71 42 32 69 62 81 10 3 52 49 34 95 50 68 104 100 103 90 61 87 45 102 82 53 21 5 75 55 78 88 56 65 47 20 19 72 73 76 60 2 98 14 91 11 30 77 29 8 9 35 28 80 15 12 0 46 37 96 83 105 97 41 38 107 64 48 67 89 23 63 44
1.1,0.74,0,0.420991,1.0733,0.0952,209824.0,1,0,73 104 33 32 68 87 94 40 107 84 28 4 77 21 79 13 58 49 52 64 63 57 56 44 54 38 61 55 78 60 96 48 91 42 90 97 62 86 92 74 80 98 99 50 59 93 5 3 67 69 100 75 65 34 35 22 2 7 26 18 103 31 1 105 25 70 30 17 102 0 81 20 19 88 16 10 53 76 45 72 85 82 43 39 51 101 95 89 41 36 37 14
1.1,0.74,1,0.419277,1.0689,0.4061,199928.1,1,0,7 40 41 52 5 28 96 12 100 38 36 16 82 46 104 31 93 65 106 59 87 11 37 51 24 33 14 2 27 8 9 53 10 3 1 18 69 62 107 70 29 58 57 15 32 45 0 86 21 76 22 75 43 23 34 26 4 71 56 89 88 20 42 98 50 94 30 83 78 95 99 19 77 25 101 74 67 60 84 91 55 85 66 54 97 102 72 90 49 48 103 61
1.1,0.74,2,0.444413,1.133,0.7143,189751.9,1,1,79 103 101 62 73 85 31 94 70 49 35 26 87 42 89 22 57 40 0 34 18 12 9 86 72 63 64 74 83 16 48 30 78 44 5 3 10 84 11 38 47 82 81 65 13 75 7 37 33 88 96 41 46 66 98 53 4 92 17 68 71 25 58 27 50 14 67 59 55 21 95 36 29 90 54 23 69 100 19 107 99 15 105 51 106 20 61 93 28 56 8 32
1.33,0.05,0,0.506051,1.2901,0.3727,184208.8,1,0,76 100 94 82 77 80 88 106 60 34 26 65 73 25 20 96 91 78 28 6 69 97 10 107 36 105 86 57 61 47 75 52 99 67 68 48 8 11 95 90 71 35 56 102 1 49 79 84 14 98 81 85 31 4 63 42 3 104 50 70 30 9 66 23 27 21 89 83 40 101 12 64 55 51 15 37 45 39 13 103 18 44 74 93 29 58 54 17 87 62 92 24
1.33,0.05,1,0.506041,1.2901,0.4814,195497.3,1,0,107 82 21 100 106 76 38 88 54 63 72 93 105 23 61 1 97 31 50 42 43 41 95 60 26 67 48 12 13 24 92 49 96 66 28 65 104 91 51 89 53 6 7 2 34 17 33 77 40 8 73 99 4 101 9 18 19 32 39 25 35 85 79 37 15 44 103 90 56 102 75 86 80 78 3 74 11 20 84 30 45 81 94 29 47 0 36 52 58 5 14 16
1.33,0.05,2,0.536162,1.3669,0.0592,177965.7,1,1,65 7 16 18 29 3 70 6 60 88 80 84 86 26 11 73 87 49 31 46 48 101 66 37 83 54 98 58 64 4 90 79 51 45 77 0 53 107 104 68 40 35 69 93 36 76 96 61 82 55 103 59 50 89 57 71 62 75 44 67 102 78 27 94 74 14 30 1 20 39 15 13 32 2 56 85 9 10 21 12 25 8 22 19 95 28 33 17 23 5 24 34
1.33,0.74,0,0.510666,1.3019,0.1743,199774.4,1,0,47 24 30 14 83 17 10 11 33 2 13 35 12 18 27 0 93 61 63 101 59 90 106 73 94 71 57 48 107 98 62 91 43 86 78 102 69 36 38 70 80 87 100 42 52 40 79 92 67 88 105 82 75 95 64 44 66 39 54 103 28 26 1 34 23 6 25 32 19 29 31 20 21 58 41 50 68 15 49 22 77 97 9 16 84 76 5 60 4 8 7 3
1.33,0.74,1,0.511909,1.3051,0.6941,208557.8,1,1,35 60 48 96 71 33 63 77 39 78 75 98 86 51 87 55 50 74 66 38 105 94 104 17 64 6 40 31 102 53 81 80 95 45 82 65 8 88 76 52 2 70 23 25 0 93 69 68 4 47 22 5 1 30 13 92 99 41 27 57 62 43 36 84 42 90 91 73 72 97 54 61 85 37 49 79 12 10 9 19 67 100 3 24 14 29 106 101 34 20 16 7
1.33,0.74,2,0.512932,1.3077,0.6947,197298.6,1,1,23 60 84 36 59 45 3 70 74 103 39 50 38 86 43 79 90 63 54 75 82 16 11 27 64 31 101 21 81 25 57 46 93 99 65 100 12 20 44 80 88 22 77 32 53 6 29 92 30 104 71 94 35 2 13 106 83 9 107 52 85 62 42 37 49 73 48 98 96 97 102 67 72 61 78 66 24 14 0 33 51 95 34 18 55 105 15 7 87 4 10 19
