set    n  metric vs mean-gain: pearson spearman | vs p99-gain: pearson spearman
bf     8  tv    -0.04   -0.14   |    -0.01   -0.14
bf     8  tvm   -0.04   -0.14   |    -0.01   -0.14
bf     8  cv    -0.03   -0.14   |    -0.01   -0.14
f1     8  tv    +0.03   -0.10   |    -0.07   -0.24
f1     8  tvm   +0.03   -0.07   |    -0.07   -0.21
f1     8  cv    +0.03   -0.07   |    -0.07   -0.21
f2     8  tv    +0.43   +0.31   |    +0.42   +0.31
f2     8  tvm   +0.22   +0.07   |    +0.24   +0.07
f2     8  cv    +0.41   +0.33   |    +0.38   +0.33
esxd  16  tv    -0.02   -0.24   |    +0.01   -0.23
esxd  16  tvm   +0.42   +0.12   |    +0.32   +0.01
esxd  16  cv    +0.04   -0.22   |    +0.09   -0.20

pooled ResNet (bf+f1, n=16): tv vs mean +0.07/-0.06  vs p99 +0.05/-0.08

bf: tag  tv_max  cv  gain_mean  gain_p99
  bf_0.78_0.84           1.56  0.74   1.26   1.31
  bf_0.63_1.00           1.64  0.80   1.02   1.03
  bf_0.47_0.00           1.66  0.81   0.96   0.92
  bf_0.59_0.00           1.66  0.81   1.04   1.13
  bf_0.90_0.80           1.67  0.81   1.51   1.87
  bf_0.76_0.00           1.67  0.82   0.90   0.83
  bf_0.56_1.00           5.63  1.92   1.00   1.01
  bf_0.86_0.00           7.50  2.55   1.16   1.27

f1: tag  tv_max  cv  gain_mean  gain_p99
  bfr824_0.82_0.94       1.28  0.44   0.96   0.96
  bfr824_0.49_1.00       1.47  0.50   1.09   1.25
  bfr824_0.70_1.00       1.54  0.53   1.04   1.13
  bfr824_0.89_0.70       1.55  0.53   1.03   1.08
  bfr824_0.50_-0.00      1.78  0.60   1.01   1.00
  bfr824_0.59_-0.00      1.81  0.62   1.06   1.19
  bfr824_0.92_0.02       1.87  0.64   0.99   0.94
  bfr824_0.73_-0.00      2.52  0.86   1.02   1.08

f2: tag  tv_max  cv  gain_mean  gain_p99
  bfv_0.56_1.00          3.16  1.19   1.00   0.97
  bfv_0.91_0.50          3.60  1.49   1.08   1.18
  bfv_0.97_1.00          3.80  1.61   1.01   0.98
  bfv_0.74_0.89          3.89  1.48   1.02   1.06
  bfv_0.64_1.00          4.21  1.64   1.07   1.15
  bfv_0.63_0.00          4.51  1.78   1.14   1.31
  bfv_0.73_0.03          4.74  1.92   0.98   0.95
  bfv_0.53_0.00          5.00  2.00   1.13   1.23

esxd: tag  tv_max  cv  gain_mean  gain_p99
  maxES_3007             9.46  2.91   1.02   1.05
  maxES_3004             9.54  2.88   0.91   0.81
  minES_3007             9.54  2.92   1.01   1.04
  minES_3000            10.00  3.00   1.02   1.01
  maxES_3000            10.00  3.00   0.91   0.91
  minES_3001            10.00  3.00   1.14   1.22
  maxES_3001            10.00  3.00   1.02   0.96
  minES_3002            10.00  3.00   1.10   1.15
  maxES_3002            10.00  3.00   0.96   0.90
  minES_3003            10.00  3.00   1.06   1.12
  maxES_3003            10.00  3.00   0.95   1.04
  minES_3004            10.00  3.00   0.88   0.82
  minES_3005            10.00  3.00   0.85   0.82
  maxES_3005            10.00  3.00   0.94   0.87
  minES_3006            10.00  3.00   0.81   0.75
  maxES_3006            10.00  3.00   1.09   1.12
