base0,738393,0.5650,57 43 27 68 21 7 28 32 63 37 26 69 45 56 46 48 44 55 47 42 39 20 40 49 15 62 10 12 51 92 52 54 87 59 97 8 93 65 61 50 81 58 98 2 88 53 91 9 86 23 96 14
base1,753838,0.5814,57 10 88 44 93 9 94 50 45 11 87 38 55 14 80 52 54 8 81 16 49 15 79 58 91 13 86 51 43 7 74 46 20 65 28 62 19 29 27 61 26 59 22 56 92 101 34 98 21 71 64 63
base2,754230,0.5883,45 88 80 37 46 82 44 43 9 52 79 38 75 91 62 57 76 92 99 58 81 97 98 93 74 85 26 51 39 55 63 21 50 67 41 12 86 103 77 6 49 61 40 18 56 68 5 48 14 66 47 13
base3,765127,0.5084,51 57 22 25 15 21 16 19 52 58 23 24 70 95 27 62 64 89 63 56 71 94 33 68 34 59 28 20 69 101 26 61 5 98 49 8 41 92 85 9 11 99 55 14 10 104 13 2 4 97 50 44
base4,768577,0.6256,51 63 9 87 57 69 15 93 50 99 8 86 46 39 42 95 52 45 48 59 47 38 36 94 10 3 6 88 82 75 43 89 65 20 61 74 71 14 62 76 64 56 55 37 29 19 60 73 101 21 97 80
base5,773046,0.6446,55 63 43 31 49 57 42 67 19 62 7 25 29 98 28 50 65 99 27 56 59 92 64 51 23 91 22 44 35 104 34 14 10 97 32 87 46 103 26 81 16 96 33 93 11 61 20 88 9 85 68 86
base6,777202,0.5087,51 81 79 27 50 80 43 63 45 82 78 33 20 16 67 99 8 52 61 57 55 10 103 93 19 15 66 100 26 17 31 105 62 86 22 18 56 14 23 12 25 85 21 24 68 92 58 60 98 87 28 54
base7,785434,0.5476,98 27 61 94 99 28 97 100 62 26 60 88 10 103 19 56 9 104 25 92 11 68 18 50 16 67 13 55 4 102 20 58 75 46 1 57 76 82 37 63 74 52 7 93 81 45 0 21 39 40 2 51
int0,748977,0.7721,62 56 57 58 26 20 21 22 98 68 92 94 55 63 51 43 49 64 50 44 19 69 15 37 91 27 93 7 54 99 87 79 46 61 52 45 40 97 59 39 82 60 16 9 10 67 53 81 47 25 88 8
int1,756033,0.4409,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 61 50 69 59 54 48 27 65 91 85 99 22 19 13 45 51 52 43 9 15 16 79 39 93 94 7 38 87 88 37 81 14 53 42
int2,757993,0.4409,61 55 45 44 25 19 9 8 97 91 81 80 63 50 58 43 62 51 57 49 99 86 94 7 69 38 22 37 27 14 59 42 64 52 56 46 28 87 68 10 70 88 20 40 100 53 93 82 65 16 92 47
int3,759561,0.4400,55 52 51 61 19 16 15 25 91 88 87 97 44 63 57 49 50 62 58 56 8 99 93 85 38 69 21 48 42 27 92 13 64 43 46 45 65 7 10 39 28 37 47 81 100 6 40 9 70 79 82 80
int4,765206,0.4409,62 61 52 64 26 25 16 28 98 97 88 100 51 57 56 45 63 58 55 50 86 21 92 9 15 22 20 39 87 93 68 81 44 46 49 43 80 82 48 79 14 10 54 37 38 40 85 7 8 47 13 42
int5,766461,0.5259,44 45 55 61 38 39 54 97 8 9 19 25 56 52 57 43 62 51 58 49 20 88 21 42 92 16 93 79 68 53 59 37 63 64 46 50 27 65 10 14 99 100 47 87 69 28 40 15 98 70 82 86
int6,772340,0.4414,44 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 56 57 62 52 15 54 97 93 86 91 60 39 14 19 67 87 64 58 46 49 28 22 47 85 65 21 40 13 70 59 82 48 100 94 10 84
int7,816716,0.4406,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 51 55 64 63 52 13 97 68 88 85 60 98 15 48 67 25 87 57 56 45 44 99 19 81 37 27 26 8 42 21 20 39 38 93 92 9 80
int8,766382,0.4695,57 46 50 61 21 10 14 25 93 82 86 97 56 51 49 52 55 45 43 58 20 16 48 53 92 87 85 88 91 15 13 94 63 62 44 64 99 98 38 65 27 68 80 59 69 60 42 70 100 26 8 28
int9,754779,0.4400,58 55 56 45 22 19 20 9 94 91 92 81 44 52 64 43 50 51 63 49 8 53 70 37 38 88 100 7 80 16 65 79 62 46 61 57 26 82 25 15 99 47 67 21 68 40 60 69 98 10 97 93
chx0,783474,0.7957,62 56 57 64 26 20 21 29 98 68 92 94 55 63 51 43 49 58 50 44 19 69 86 37 91 27 15 7 54 99 87 79 46 61 52 45 40 97 59 39 82 60 16 9 10 67 53 81 47 25 88 8
chx1,792412,0.4412,56 50 64 62 92 86 100 104 20 8 28 26 63 58 55 49 57 46 61 44 69 59 54 48 27 22 91 85 99 65 19 13 45 51 52 43 9 15 82 79 39 93 88 7 38 87 94 37 81 14 53 42
chx2,794136,0.6511,61 55 45 44 25 18 9 8 97 54 81 80 63 51 58 43 62 50 57 49 99 86 59 7 69 15 88 37 27 14 22 42 64 52 56 46 28 94 21 10 70 16 93 40 100 53 20 82 65 87 92 47
chx3,796175,0.4358,56 52 51 61 19 16 15 67 86 88 87 97 44 63 57 49 50 62 58 55 8 99 93 12 38 69 21 48 42 26 92 13 64 43 46 45 65 7 10 75 28 37 47 39 100 6 40 9 70 79 82 80
chx4,801663,0.4658,62 61 52 64 26 60 16 28 98 97 88 100 51 57 56 45 63 58 55 50 86 21 92 9 15 22 20 39 87 93 68 81 44 46 49 43 80 82 13 79 14 53 54 48 38 40 19 37 8 47 7 42
chx5,803859,0.5536,44 45 55 61 74 81 85 97 7 9 19 25 56 52 57 43 62 51 58 49 20 88 22 42 92 16 21 79 54 53 59 37 63 64 46 50 27 65 10 14 99 100 47 87 69 28 40 15 98 70 82 86
chx6,810678,0.4563,44 63 45 43 80 99 39 79 8 27 9 7 50 55 62 51 56 57 61 52 15 54 26 93 86 91 20 87 14 19 67 81 64 58 46 49 59 22 47 85 69 21 40 13 65 70 82 48 100 94 10 84
chx7,854819,0.4406,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 51 55 63 64 52 13 91 68 88 85 19 98 21 48 60 25 15 57 56 45 44 69 54 81 37 27 92 8 42 99 20 39 38 93 26 9 80
