arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
minE40,int0,0.1072,0.0467,0.1124,23,32,0.3696,1.0,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 26 14 98 86 63 55 44 43 49 56 99 91 38 7 48 92 27 19 8 42 13 20 61 64 24 71 25 34 97 70 66 69 96 29 103 106 67 100 54 59 31 65 60 28 68 101
minE50,int0,0.0983,0.0439,0.1205,23,33,0.3696,1.0,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 26 14 98 86 63 55 44 43 49 56 99 19 38 7 13 92 27 91 8 37 85 20 61 64 24 71 25 34 97 70 66 69 96 29 103 106 67 100 54 59 31 65 60 28 68 101
aboveF,int0,0.1737,0.557,0.5886,7,8,1.0999,1.6902,57 104 0 22 93 55 62 52 9 16 81 88 56 92 15 10 87 46 98 103 68 14 45 86 63 26 44 43 49 51 99 54 38 37 85 20 27 19 8 42 48 82 61 64 24 71 25 34 97 70 66 69 96 29 50 106 67 100 91 59 31 65 60 28 94 101
minE40,int1,0.1597,0.0834,0.1199,24,29,0.3671,1.0,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 13 26 52 51 58 61 50 57 53 87 22 97 14 21 16 15 94 25 86 93 63 46 70 76 33 82 59 4 71 11 65 83 105 40 60 41 27 39 68 47 69 10 99 88
minE50,int1,0.147,0.0734,0.1294,23,30,0.3671,1.0,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 13 26 52 51 58 61 50 57 88 87 22 60 86 21 16 15 94 25 14 93 63 46 70 76 33 82 59 4 71 11 65 83 105 40 67 41 27 39 68 47 69 10 99 53
aboveF,int1,0.3188,0.0195,0.1052,1,2,1.1003,1.3436,89 45 7 81 105 9 68 43 92 79 104 4 55 64 91 100 19 28 98 62 48 49 85 56 52 51 58 61 50 57 53 87 22 60 86 8 88 15 94 25 14 93 63 46 70 76 33 82 59 17 101 11 65 83 21 40 97 41 27 39 26 47 69 10 99 16
minE40,int2,0.1223,0.0175,0.0498,19,23,0.4635,0.9955,45 89 81 88 39 83 61 43 97 79 60 7 62 15 98 87 68 3 63 50 69 86 27 14 58 57 26 64 49 44 22 21 20 28 13 38 59 51 30 100 48 8 46 55 82 90 52 93 11 67 10 18 9 19 40 56 53 25 47 54 4 85 80 91 76 37
minE50,int2,0.1001,0.0187,0.1209,20,29,0.4635,0.9955,45 52 81 88 39 53 25 43 97 79 60 37 62 15 98 87 68 9 63 50 99 86 27 14 58 57 56 64 49 44 59 21 92 100 13 38 22 51 20 28 48 8 46 55 82 90 41 93 11 67 10 18 83 19 40 26 16 61 47 54 4 85 80 91 76 42
aboveF,int2,0.2914,0.197,0.3606,2,7,1.0826,1.8512,85 52 86 88 96 53 97 43 90 79 60 76 70 51 98 87 68 9 4 50 40 81 41 61 58 57 56 64 49 44 22 54 20 104 13 38 59 15 92 100 55 80 11 28 5 37 27 3 45 24 69 18 66 19 62 26 16 25 47 21 63 48 99 8 14 39
minE40,int3,0.1855,0.1418,0.1955,24,31,0.3746,0.997,50 62 14 26 80 98 45 46 9 10 81 82 43 52 7 16 79 88 51 44 15 38 87 8 58 12 92 57 64 63 94 48 91 93 65 99 22 84 86 21 70 27 61 55 25 54 67 13 18 85 31 49 32 96 69 90 68 19 66 37 24 103 97 20 60 56
minE50,int3,0.2569,0.1527,0.2466,24,34,0.3746,1.0,50 62 14 26 80 98 45 46 9 10 81 82 43 52 7 16 79 88 51 44 15 38 87 8 58 49 56 57 64 63 59 13 92 93 65 99 22 37 86 21 28 27 61 55 25 54 67 42 96 85 32 12 31 18 69 90 68 19 66 48 103 24 97 20 60 91
