arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
minE40,int0,0.1131,0.0273,0.0219,4,6,0.4918,0.9975,51 50 15 14 62 55 69 18 20 85 26 49 63 19 61 67 98 56 60 54 68 91 99 48 25 59 93 86 92 97 64 44 57 46 52 58 45 13 28 8 21 10 16 22 9 7
minE50,int0,0.1627,0.0266,0.0769,4,6,0.4918,0.9953,51 50 15 14 62 55 20 18 25 49 26 19 69 85 99 91 98 61 60 54 68 67 63 43 48 56 86 93 92 97 64 44 57 46 52 58 45 13 28 8 21 10 16 22 9 7
aboveF,int0,0.2087,0.3357,0.2841,3,7,1.0928,1.8129,56 50 20 38 23 28 69 33 26 19 67 7 22 27 25 15 59 61 32 54 68 55 16 17 4 83 18 70 86 65 87 44 57 46 62 58 45 63 14 8 21 10 92 52 9 99
minE40,int1,0.1266,0.0,0.0,2,3,0.4918,0.9944,50 43 86 79 46 63 47 99 53 61 10 27 9 65 39 69 81 57 40 64 82 26 21 45 62 68 22 16 59 15 56 44 49 98 55 52 58 51 92 80 85 97 91 88 94 87
minE50,int1,0.2256,0.0429,0.1584,3,5,0.4918,0.9955,50 43 86 79 46 63 47 99 53 62 10 27 39 93 9 69 81 21 40 68 82 26 57 45 98 64 22 16 59 15 56 44 49 61 55 52 58 51 92 80 85 97 91 88 94 87
aboveF,int1,0.1378,0.3643,0.3643,5,5,1.1,1.3854,50 43 59 53 46 63 47 26 45 62 10 27 58 99 9 69 39 64 40 68 82 97 57 15 61 21 22 92 98 56 81 16 49 93 55 80 91 86 79 52 85 51 44 88 94 87
minE40,int2,0.1596,0.0845,0.1132,5,7,0.5041,0.9984,56 50 20 14 58 46 94 82 64 81 59 40 70 39 22 10 88 53 57 11 21 47 23 43 45 65 93 89 100 87 61 44 51 63 55 52 62 49 25 8 15 27 19 16 26 13
minE50,int2,0.1857,0.0271,0.1777,4,8,0.5041,0.994,56 50 20 14 58 46 59 82 57 81 94 40 23 39 22 10 88 9 21 11 53 47 65 43 45 64 93 89 100 87 61 44 51 63 55 52 62 49 25 8 15 27 19 16 26 13
aboveF,int2,0.0552,0.0211,0.1578,2,5,1.0855,1.292,56 44 14 62 93 46 64 82 88 50 74 40 59 39 63 10 58 9 94 11 86 47 57 43 53 65 22 89 81 8 61 80 51 21 19 52 87 49 25 45 15 27 55 16 99 13
minE40,int3,0.1097,0.0,0.0,3,4,0.4918,0.9958,50 43 86 79 61 52 62 88 26 46 25 47 60 59 97 53 67 51 96 40 54 16 64 24 10 63 20 15 19 21 58 49 44 45 56 87 55 57 94 85 80 81 92 82 91 93
