arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
minE40,int0,-0.0028,0.0561,0.0748,11,13,0.7839,0.9957,62 56 93 58 26 20 21 22 98 68 92 94 55 63 51 43 19 27 50 7 91 69 87 79 54 64 57 44 49 99 15 37 46 61 52 45 10 97 53 9 82 60 16 39 40 67 59 81 47 25 88 8
minE50,int0,0.0036,0.0559,0.0761,11,13,0.8073,0.9957,62 56 93 58 26 20 21 22 98 68 92 94 55 63 51 43 19 64 50 44 54 69 15 7 91 27 57 37 49 99 87 79 46 61 52 45 40 97 59 39 82 60 16 9 10 67 53 81 47 25 88 8
aboveF,int0,0.0148,0.5088,0.4951,5,13,1.0999,1.6024,62 82 16 46 88 20 21 28 98 68 10 94 55 63 51 43 49 64 19 40 44 69 15 37 91 27 93 7 54 99 87 79 58 61 52 45 59 97 50 39 56 60 42 9 57 67 53 81 47 25 26 8
minE40,int1,0.0056,0.0465,0.0225,14,44,0.4677,0.9935,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 27 93 19 85 69 59 54 48 65 70 61 13 99 22 91 50 45 51 52 43 39 87 16 7 9 57 46 79 47 15 88 37 81 14 53 42
minE50,int1,0.0409,0.0705,0.0539,17,44,0.4677,0.9973,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 54 85 69 94 61 48 27 65 91 13 99 22 19 50 45 51 52 43 9 15 16 7 39 93 59 79 38 87 88 37 81 14 53 42
aboveF,int1,0.0038,0.3488,0.291,3,11,1.0999,1.6399,58 44 64 62 92 80 100 98 20 27 56 26 63 94 55 15 85 46 38 88 69 59 54 48 67 65 91 57 99 22 19 74 45 51 52 42 9 28 16 79 39 93 13 7 61 87 49 96 81 14 53 43
minE40,int2,0.0896,0.1358,0.077,18,48,0.4677,1.0,61 55 45 44 25 19 9 8 97 91 81 80 63 50 58 43 62 51 57 49 99 14 94 37 69 38 59 42 27 86 22 7 64 52 56 46 70 87 68 10 65 88 92 40 100 53 93 82 28 16 20 47
minE50,int2,0.0569,0.1338,0.0985,17,52,0.4677,1.0,61 55 45 44 25 19 9 8 97 91 81 80 63 50 58 43 62 51 59 49 69 86 94 7 99 38 57 37 27 14 22 42 64 52 56 46 70 87 68 10 65 88 92 40 100 53 93 82 28 16 20 47
aboveF,int2,0.084,0.2253,0.1452,5,12,1.0991,1.5916,61 91 45 44 25 50 9 8 97 55 81 80 85 19 58 94 37 27 57 49 99 86 43 63 42 7 22 62 51 14 59 54 64 52 56 46 28 87 68 10 30 88 20 70 100 53 93 82 65 16 92 47
minE40,int3,0.0341,0.0998,0.0581,17,47,0.4667,1.0,55 52 51 61 19 16 15 25 91 88 87 97 44 63 57 49 50 62 58 56 8 69 21 85 80 27 93 48 42 99 20 13 64 43 46 45 65 6 82 39 28 7 47 81 100 37 10 9 70 79 40 38
minE50,int3,0.0197,0.0367,0.0526,18,49,0.4667,0.996,55 52 51 61 19 16 15 25 91 88 87 97 44 63 57 49 80 99 58 56 38 27 93 48 8 69 21 13 6 62 20 85 64 43 46 45 65 42 40 39 28 7 82 81 100 37 47 9 70 79 10 50
aboveF,int3,0.0063,0.7712,0.3829,4,11,1.0993,1.3571,55 52 57 61 19 16 15 25 91 88 87 97 44 50 51 49 63 62 58 56 67 99 31 85 38 69 21 48 42 27 92 13 64 43 46 45 65 7 10 39 28 37 47 81 100 6 40 9 70 79 82 80
minE40,int4,0.0758,0.1359,0.0677,15,43,0.4677,0.996,62 61 52 64 26 25 16 28 98 97 88 100 51 57 56 45 63 93 54 80 14 21 92 81 87 59 20 39 15 58 68 9 44 46 49 43 8 82 13 42 86 40 55 37 50 47 85 79 38 10 48 7
minE50,int4,0.0575,0.0879,0.0603,16,47,0.4677,0.9947,62 61 52 64 26 25 16 28 98 97 88 100 51 57 56 45 63 21 68 14 87 93 55 81 53 59 92 39 15 58 20 9 44 46 49 43 50 47 48 7 8 40 85 37 38 10 54 79 80 82 13 42
aboveF,int4,0.1479,0.2723,0.2068,7,14,1.0936,1.4298,62 100 58 101 26 25 88 28 98 97 94 61 51 57 56 45 63 99 69 50 86 21 92 16 15 22 20 39 87 93 68 90 44 10 49 43 80 81 48 79 14 55 54 37 38 40 85 7 8 47 13 42
minE40,int5,0.0568,0.1404,0.0692,15,46,0.5579,0.9947,44 45 55 61 38 39 54 97 8 9 19 25 56 52 57 43 62 53 21 42 20 88 87 7 92 16 93 49 68 58 59 37 63 64 46 50 27 65 10 14 69 100 47 51 99 70 40 48 98 28 82 86
minE50,int5,0.0625,0.1166,0.1175,18,48,0.5064,0.999,44 45 55 61 38 39 54 25 8 9 19 67 56 52 57 43 68 53 21 37 20 88 58 42 92 51 93 79 62 16 59 49 63 64 46 50 27 65 40 14 69 100 82 87 99 28 10 15 98 70 47 86
aboveF,int5,0.1216,0.2672,0.2263,4,13,1.1,1.347,42 10 18 46 43 39 54 14 8 9 19 29 56 52 57 55 62 82 58 49 20 88 21 61 25 16 93 79 68 53 59 37 63 64 44 50 27 65 45 92 99 100 47 87 69 28 40 15 98 70 51 86
minE40,int6,0.0536,0.1605,0.085,19,50,0.4682,1.0,44 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 56 57 62 87 52 54 60 21 86 19 97 39 14 91 67 15 64 58 46 49 28 22 82 37 65 93 47 13 70 59 10 85 100 94 40 48
