arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
maxES,int0,0.1788,0.1162,0.156,27,32,0.3696,1.0,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 68 86 98 14 63 55 44 43 49 56 99 91 8 37 85 92 69 54 38 42 48 20 61 64 24 29 25 71 97 70 66 65 19 59 103 106 67 100 96 34 31 27 60 28 26 101
maxE50,int0,0.1357,0.1309,0.1519,29,32,0.3696,1.0,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 69 19 38 37 85 20 27 54 80 42 48 92 61 64 24 71 25 34 97 70 66 99 96 29 103 106 67 100 91 59 31 65 60 28 26 101
maxE40,int0,0.1739,0.1174,0.1645,27,33,0.3696,1.0,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 99 91 8 37 85 20 69 54 38 42 13 92 61 64 24 71 25 34 97 70 66 27 96 29 103 106 67 100 19 59 31 65 60 28 26 101
minCC,int0,0.1426,0.1157,0.1446,29,33,0.3696,1.0,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 99 54 38 37 85 20 27 19 8 42 48 92 61 64 24 71 25 34 97 70 66 69 96 29 103 106 67 100 91 59 31 65 60 28 26 101
maxES,int1,0.1998,0.1113,0.1709,23,31,0.3671,1.0,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 85 68 52 51 58 61 50 57 53 87 22 97 86 21 88 15 94 60 14 93 63 46 70 76 33 82 59 4 101 47 65 83 99 11 25 41 27 39 26 40 69 10 105 16
maxE50,int1,0.2019,0.1604,0.197,26,32,0.3671,1.0,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 85 68 52 51 58 61 50 57 53 15 59 60 14 21 88 87 94 25 86 93 63 46 70 76 33 82 22 4 106 11 65 83 105 40 97 41 27 39 26 47 69 10 99 16
maxE40,int1,0.3985,0.2039,0.4101,23,41,0.3671,0.9985,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 106 19 22 49 62 48 25 85 68 52 51 95 61 50 57 88 15 59 60 14 93 58 87 94 97 86 21 63 46 70 76 33 82 28 4 100 11 65 83 105 40 26 41 27 39 98 47 69 10 99 16
minCC,int1,0.1928,0.1062,0.1698,24,31,0.3671,1.0,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 85 68 52 51 58 61 50 57 53 87 22 60 86 21 88 15 94 25 14 93 63 46 70 76 33 82 59 4 101 11 65 83 105 40 97 41 27 39 26 47 69 10 99 16
maxES,int2,0.263,0.1762,0.2391,22,28,0.4396,1.0,45 52 81 88 39 53 61 43 97 79 25 37 62 51 98 87 68 9 63 50 99 86 69 14 58 57 56 64 49 44 59 93 20 65 85 38 94 15 92 100 48 80 46 55 4 90 41 21 11 67 10 18 83 19 40 26 16 60 47 54 82 13 8 91 76 42
maxE50,int2,0.2508,0.1944,0.2311,23,30,0.4106,1.0,45 52 81 88 39 16 61 43 97 79 67 37 62 51 98 87 26 9 63 50 99 86 27 14 58 57 56 64 49 44 94 93 92 65 85 38 59 15 20 100 48 8 46 55 82 90 41 21 11 60 10 18 83 19 40 68 53 25 47 54 4 13 80 91 76 42
maxE40,int2,0.2967,0.2926,0.4065,25,40,0.3746,0.994,45 52 81 88 8 16 61 43 97 79 26 42 62 51 98 87 68 9 63 50 99 86 69 14 58 21 56 64 49 44 94 27 20 65 85 38 59 15 93 100 48 80 46 55 82 90 41 92 11 67 10 18 83 19 40 60 53 25 47 54 4 13 39 91 76 84
minCC,int2,0.2052,0.0912,0.1744,18,25,0.4635,1.0,45 52 81 88 39 53 61 43 97 79 60 37 62 51 98 87 68 9 63 50 99 86 27 14 58 57 56 64 49 44 22 21 20 28 13 38 59 15 92 100 85 8 46 55 82 90 41 93 11 67 10 18 83 19 40 26 16 25 47 54 4 48 80 91 76 42
maxES,int3,0.2923,0.2108,0.276,26,34,0.3746,1.0,50 62 14 26 80 98 45 46 9 10 81 82 43 52 7 16 79 88 51 44 15 38 87 8 58 49 56 57 64 63 22 48 92 21 70 69 94 37 86 93 65 27 61 55 99 54 67 84 96 13 31 12 24 18 25 90 32 19 68 85 103 66 97 20 60 91
