arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
maxES,int0,0.2335,0.1413,0.2196,6,9,0.4918,0.9991,51 50 15 14 62 55 26 91 68 18 98 85 32 19 20 90 99 54 63 48 69 13 97 67 61 56 86 93 92 49 64 44 57 46 52 58 45 43 28 8 21 10 16 22 9 7
maxE50,int0,0.0507,0.2503,0.296,6,7,0.4918,0.9973,51 50 15 14 62 55 92 60 97 54 98 91 104 56 63 49 99 48 68 18 26 19 25 85 69 20 61 93 86 13 64 44 57 46 52 58 45 43 28 8 21 10 16 22 9 7
maxE40,int0,0.1723,0.1835,0.2939,5,10,0.4918,0.9985,51 50 15 14 62 55 61 90 97 54 92 91 98 13 25 49 26 48 68 85 20 19 63 67 69 99 56 93 86 60 64 44 57 46 52 58 45 43 28 8 21 10 16 22 9 7
minCC,int0,0.1384,0.0542,0.1758,4,7,0.4918,1.0,51 50 15 14 62 55 69 18 99 13 26 91 20 85 25 67 98 48 60 54 68 19 63 49 61 56 92 93 86 97 64 44 57 46 52 58 45 43 28 8 21 10 16 22 9 7
maxES,int1,0.3059,0.0,0.2768,2,7,0.4918,0.9973,50 43 86 79 46 63 82 26 47 69 83 27 81 21 39 99 9 93 40 98 10 62 68 45 57 64 22 16 59 15 56 44 49 61 55 52 58 51 92 80 85 97 91 88 94 87
maxE50,int1,0.0402,0.2414,0.2414,4,4,0.4918,0.998,50 43 86 79 46 63 47 99 45 62 10 27 39 28 9 69 81 21 40 33 82 26 57 38 64 59 22 16 58 15 56 44 49 61 55 52 93 51 92 80 85 97 91 88 94 87
maxE40,int1,0.1448,0.23,0.3681,4,9,0.4918,0.9989,50 43 86 79 46 63 47 99 40 100 82 93 45 69 4 27 39 98 9 68 10 26 57 81 59 62 22 16 64 15 56 44 49 61 55 52 58 51 92 80 85 97 91 88 94 87
minCC,int1,0.1781,0.0,0.2328,2,6,0.4918,1.0,50 43 86 79 46 63 47 99 53 98 10 27 39 93 9 69 81 21 40 68 82 26 57 45 62 64 22 16 59 15 56 44 49 61 55 52 58 51 92 80 85 97 91 88 94 87
maxES,int2,0.2351,0.0271,0.2093,4,9,0.5041,1.0,56 50 20 14 58 46 100 82 93 81 94 40 59 39 22 10 21 9 23 11 53 47 57 87 88 64 45 89 65 43 61 44 51 63 55 52 62 49 25 8 15 27 19 16 26 13
maxE50,int2,0.1113,0.2418,0.2616,7,8,0.4918,0.9998,56 50 20 14 58 46 22 10 21 4 23 9 53 11 94 82 59 47 65 81 64 40 87 43 88 93 57 89 100 45 61 44 51 63 55 52 62 49 25 8 15 27 19 16 26 13
maxE40,int2,0.15,0.1932,0.2904,6,11,0.4918,0.9996,56 50 20 14 58 46 22 10 21 4 23 9 57 40 93 45 59 47 94 39 53 81 65 43 87 64 88 89 100 82 61 44 51 63 55 52 62 49 25 8 15 27 19 16 26 13
