arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
maxES,int0,0.1934,0.3105,0.2278,20,51,0.4681,0.9974,62 56 57 58 26 20 21 22 98 86 92 94 55 63 51 43 19 69 87 79 91 27 50 37 49 99 93 42 54 64 15 44 46 61 52 45 47 25 59 39 10 67 16 9 82 97 53 81 40 60 88 8
maxE50,int0,-0.053,0.2733,0.2657,17,18,0.581,0.9986,62 56 57 58 26 20 21 22 98 92 68 94 55 63 51 43 91 69 50 37 19 27 15 44 49 64 93 7 54 99 87 79 46 61 52 45 47 97 59 39 82 60 16 9 10 67 53 81 40 25 88 8
maxE40,int0,-0.051,0.2733,0.2683,17,18,0.581,0.9986,62 56 57 58 26 20 21 22 98 92 68 94 55 63 51 43 91 69 50 37 19 27 15 44 49 64 93 7 54 99 87 79 46 61 52 45 47 25 59 81 82 67 16 39 10 97 53 9 40 60 88 8
minCC,int0,0.1086,0.0813,0.1575,10,13,0.819,1.0,62 56 57 58 26 20 21 22 98 68 92 94 55 63 51 43 49 64 50 44 19 69 15 37 91 27 93 7 54 99 87 79 46 61 52 45 40 97 59 39 82 60 16 9 10 67 53 81 47 25 88 8
maxES,int1,0.1081,0.1468,0.0977,20,43,0.4677,1.0,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 91 14 99 94 54 48 69 65 61 85 27 59 19 13 45 51 52 43 9 15 16 42 39 93 53 79 38 87 88 7 81 50 17 37
maxE50,int1,0.1183,0.1689,0.1093,21,45,0.4677,1.0,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 61 50 99 59 91 48 69 65 54 85 27 94 19 13 45 51 52 43 9 15 16 42 39 93 22 79 38 87 88 37 81 86 53 7
maxE40,int1,0.0906,0.1397,0.1141,19,45,0.4677,1.0,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 61 50 69 94 91 48 27 65 54 85 99 59 19 13 45 51 52 43 9 15 16 42 39 93 22 37 38 87 88 7 81 14 53 79
minCC,int1,0.0776,0.1228,0.1019,19,44,0.4677,1.0,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 61 50 69 59 54 48 27 65 91 85 99 22 19 13 45 51 52 43 9 15 16 79 39 93 94 7 38 87 88 37 81 14 53 42
maxES,int2,0.1749,0.1925,0.1587,21,50,0.4677,0.9987,61 55 45 44 25 19 9 8 97 91 81 80 63 50 58 43 62 14 59 49 27 15 22 7 69 87 94 37 99 86 57 42 64 52 56 46 65 51 21 10 70 88 20 40 28 53 93 82 100 16 92 47
maxE50,int2,0.1322,0.2016,0.1145,18,49,0.4677,1.0,61 55 45 44 25 19 9 8 97 91 81 80 63 50 58 43 62 86 57 49 27 14 59 7 69 38 22 37 99 51 94 42 64 52 56 46 65 87 26 10 70 88 20 40 28 53 21 82 100 16 92 47
