cell,bl_head,bl_body,dp_head,dp_body
bf_0.47_0.00_k0300,3024,22352,1264,22176
bf_0.47_0.00_k0550,3546,74774,6670,72114
bf_0.47_0.00_k0750,5890,288014,12576,258480
bf_0.47_0.00_k0950,40957,558611,44263,695433
bf_0.56_1.00_k0300,1822,1266,0,288
bf_0.56_1.00_k0550,2428,7365,144,5072
bf_0.56_1.00_k0750,6611,19639,944,6768
bf_0.56_1.00_k0950,14050,57667,5338,13257
bf_0.59_0.00_k0300,256,19920,336,17328
bf_0.59_0.00_k0550,11170,111838,12099,99197
bf_0.59_0.00_k0750,17563,293221,23170,316606
bf_0.59_0.00_k0950,30172,682292,33692,698020
bf_0.63_1.00_k0300,887,25321,1088,15696
bf_0.63_1.00_k0550,5538,105294,4960,57168
bf_0.63_1.00_k0750,12073,330055,12660,182268
bf_0.63_1.00_k0950,14361,727975,22698,504998
bf_0.76_0.00_k0300,1232,25984,354,22798
bf_0.76_0.00_k0550,2496,120400,8944,129376
bf_0.76_0.00_k0750,6690,307646,18200,322872
bf_0.76_0.00_k0950,32756,577052,41187,821181
bf_0.78_0.84_k0300,1480,29527,1158,24557
bf_0.78_0.84_k0550,8755,215990,15878,126260
bf_0.78_0.84_k0750,51829,659824,15652,438269
bf_0.78_0.84_k0950,94508,1037819,66682,1049199
bf_0.86_0.00_k0300,350,1202,601,1415
bf_0.86_0.00_k0550,976,2450,953,2935
bf_0.86_0.00_k0750,1291,3478,1532,3397
bf_0.86_0.00_k0950,1903,3720,1822,3930
bf_0.90_0.80_k0300,3763,48828,2912,21424
bf_0.90_0.80_k0550,19337,252935,13044,144585
bf_0.90_0.80_k0750,41639,830954,35902,445056
bf_0.90_0.80_k0950,137098,1092306,117277,1007930
