cell,bl_head,bl_body,dp_head,dp_body
maxES_3000_k0470,9914,22630,6220,34296
maxES_3000_k0550,8703,42928,19254,46579
maxES_3000_k0650,13083,57612,17512,45048
maxES_3000_k1000,37534,128842,44426,131935
maxES_3000_k1100,69404,117396,50545,99908
maxES_3001_k0470,2628,20076,13617,26399
maxES_3001_k0550,3835,26133,23948,50980
maxES_3001_k0650,44857,97351,13229,51699
maxES_3001_k1000,110155,228613,142816,249712
maxES_3001_k1100,140005,260571,141744,267600
maxES_3002_k0470,10404,72180,15849,50761
maxES_3002_k0550,31399,81891,32352,54114
maxES_3002_k0650,43976,119768,40297,121366
maxES_3002_k1000,100743,238873,121168,244368
maxES_3002_k1100,125252,266332,135123,261485
maxES_3003_k0470,7690,35958,22199,35900
maxES_3003_k0550,33238,51452,25936,79952
maxES_3003_k0650,31799,163317,32720,134432
maxES_3003_k1000,102848,248432,115056,242400
maxES_3003_k1100,128208,246976,135536,251792
maxES_3004_k0470,9743,22377,10857,20773
maxES_3004_k0550,9312,34000,15402,49030
maxES_3004_k0650,20700,54532,14393,58030
maxES_3004_k1000,25558,37482,34293,91709
maxES_3004_k1100,27083,25093,24419,21557
maxES_3005_k0470,16478,38158,6784,35392
maxES_3005_k0550,21775,46444,21126,51197
maxES_3005_k0650,19508,54610,27959,95801
maxES_3005_k1000,45180,171282,47588,126812
maxES_3005_k1100,56809,204772,63725,182810
maxES_3006_k0470,17057,59894,9351,45935
maxES_3006_k0550,20806,73946,22169,81589
maxES_3006_k0650,50752,131664,33009,144860
maxES_3006_k1000,81523,243085,115520,250256
maxES_3006_k1100,133572,245244,130976,255312
maxES_3007_k0470,17055,52794,13020,52596
maxES_3007_k0550,22656,82656,32528,67762
maxES_3007_k0650,41376,109216,57476,106732
maxES_3007_k1000,122624,248160,94944,248048
maxES_3007_k1100,110352,233626,124784,266160
minES_3000_k0470,6368,22288,13057,27161
minES_3000_k0550,10660,54967,18213,36186
minES_3000_k0650,15099,52686,16858,69546
minES_3000_k1000,48262,108882,36956,102584
minES_3000_k1100,57939,140962,54176,118176
minES_3001_k0470,14372,16796,16379,19157
minES_3001_k0550,7291,18261,20790,11322
minES_3001_k0650,42940,87476,60670,138594
minES_3001_k1000,119148,225540,132256,242416
minES_3001_k1100,127421,267715,133108,251836
minES_3002_k0470,16441,49741,15123,61085
minES_3002_k0550,20162,86530,12451,83229
minES_3002_k0650,31838,119314,30612,140712
minES_3002_k1000,107057,238735,114419,245245
minES_3002_k1100,122507,263957,120272,256096
minES_3003_k0470,7451,21779,10484,50252
minES_3003_k0550,23709,73692,17060,43856
minES_3003_k0650,31988,120512,42464,160768
minES_3003_k1000,84080,244304,108688,236160
minES_3003_k1100,107680,264912,114176,249248
minES_3004_k0470,10049,27184,15602,41250
minES_3004_k0550,22321,51731,18594,44942
minES_3004_k0650,33389,100475,29211,92123
minES_3004_k1000,43499,211818,77252,191288
minES_3004_k1100,71451,187521,89767,212197
minES_3005_k0470,10892,24404,7098,47168
minES_3005_k0550,16386,55313,21307,53990
minES_3005_k0650,20988,94884,21909,82074
minES_3005_k1000,60676,159203,84454,153351
minES_3005_k1100,77606,163388,75000,142347
minES_3006_k0470,8232,28504,8082,34589
minES_3006_k0550,10956,42760,18276,50893
minES_3006_k0650,17760,66224,26168,77384
minES_3006_k1000,52822,138887,48227,119917
minES_3006_k1100,58744,134008,52950,167210
minES_3007_k0470,10289,41719,11616,47520
minES_3007_k0550,12435,73709,14717,77395
minES_3007_k0650,38522,107306,35936,134081
minES_3007_k1000,137367,271110,127600,245216
minES_3007_k1100,135088,300478,138272,269120
