cell,bl_head,bl_body,dp_head,dp_body
bfv_0.53_0.00_k0150,385,5402,368,4528
bfv_0.53_0.00_k0250,625,8497,640,8640
bfv_0.53_0.00_k0350,827,11301,913,11601
bfv_0.53_0.00_k0450,938,14690,1040,14067
bfv_0.53_0.00_k0550,1390,17423,1230,17550
bfv_0.56_1.00_k0150,480,7508,208,5312
bfv_0.56_1.00_k0250,1115,12661,587,11776
bfv_0.56_1.00_k0350,1232,19744,864,16863
bfv_0.56_1.00_k0450,1538,26292,944,22756
bfv_0.56_1.00_k0550,2365,33210,2155,30036
bfv_0.63_0.00_k0150,321,9467,420,5260
bfv_0.63_0.00_k0250,1501,16400,2196,12423
bfv_0.63_0.00_k0350,2192,43415,2687,27139
bfv_0.63_0.00_k0450,1455,49514,7952,41580
bfv_0.63_0.00_k0550,10453,78048,3515,65137
bfv_0.64_1.00_k0150,1750,12882,577,10128
bfv_0.64_1.00_k0250,1344,44313,990,29090
bfv_0.64_1.00_k0350,7536,83639,5356,64223
bfv_0.64_1.00_k0450,6169,229131,3658,113803
bfv_0.64_1.00_k0550,30779,440968,17344,243152
bfv_0.73_0.03_k0150,465,11045,304,6880
bfv_0.73_0.03_k0250,1848,26087,730,13010
bfv_0.73_0.03_k0350,2700,45050,1176,26783
bfv_0.73_0.03_k0450,2691,84286,1426,43137
bfv_0.73_0.03_k0550,8912,206774,2561,101705
bfv_0.74_0.89_k0150,336,5445,672,9712
bfv_0.74_0.89_k0250,1044,9242,939,13570
bfv_0.74_0.89_k0350,603,13125,1154,16378
bfv_0.74_0.89_k0450,1305,18095,1202,22062
bfv_0.74_0.89_k0550,1387,24852,1772,26483
bfv_0.91_0.50_k0150,993,17409,1472,13710
bfv_0.91_0.50_k0250,8627,55656,6592,46633
bfv_0.91_0.50_k0350,7629,133592,4118,77729
bfv_0.91_0.50_k0450,23406,331259,7320,166900
bfv_0.91_0.50_k0550,20886,623962,30105,308124
bfv_0.97_1.00_k0150,432,19952,1328,14327
bfv_0.97_1.00_k0250,3758,45311,1520,43888
bfv_0.97_1.00_k0350,5002,122963,6004,90553
bfv_0.97_1.00_k0450,8615,249914,21731,226369
bfv_0.97_1.00_k0550,23472,522595,50247,403106
