tag,u,v,dir,PL,n_win,turnover_max,turnover_mean,cv_link
minES_3000,82,81,3,0.3907,5,10.001,2.500,3.000
maxES_3000,82,81,3,0.3853,5,10.001,2.500,3.000
minES_3001,76,82,2,0.6512,5,10.001,5.001,3.000
maxES_3001,76,82,2,0.6512,5,10.001,5.001,3.000
minES_3002,12,6,0,0.3812,5,10.001,2.500,3.000
maxES_3002,12,6,0,0.3812,5,10.001,2.500,3.000
minES_3003,43,42,3,0.3663,5,10.001,2.500,3.000
maxES_3003,27,28,1,0.3799,5,10.001,2.500,3.000
minES_3004,25,24,3,0.4586,5,10.001,2.500,3.000
maxES_3004,26,27,1,0.3980,5,9.535,2.411,2.882
minES_3005,87,93,2,0.4070,5,10.001,2.500,3.000
maxES_3005,21,27,2,0.4070,5,10.001,2.500,3.000
minES_3006,8,2,0,0.3871,5,10.001,2.500,3.000
maxES_3006,61,60,3,0.3799,5,10.001,2.500,3.000
minES_3007,97,61,4,0.3669,5,9.538,2.442,2.924
maxES_3007,97,61,4,0.3747,5,9.456,2.432,2.910
