cell,w0_len,w1_len,w2_len,w3_len,bl_mean,dp_mean,cell_oracle,phase_oracle,winners
bf_0.47_0.00_k0300,5138,23121,10276,1,14.99,14.86,14.86,14.51,BDB
bf_0.47_0.00_k0550,5138,23121,10276,1,19.87,18.54,18.54,18.48,DDD
bf_0.47_0.00_k0750,5138,23121,10276,1,29.95,29.74,29.74,29.17,BDD
bf_0.47_0.00_k0950,5138,23121,10276,1,62.35,81.83,62.35,61.83,DBD
bf_0.56_1.00_k0300,5138,23121,10276,1,14.68,15.02,14.68,14.66,BBB
bf_0.56_1.00_k0550,5138,23121,10276,1,20.98,20.81,20.81,20.84,DDD
bf_0.56_1.00_k0750,5138,23121,10276,1,29.93,30.20,29.93,29.91,DBB
bf_0.56_1.00_k0950,5138,23121,10276,1,99.66,96.76,96.76,96.22,DDD
bf_0.59_0.00_k0300,5138,23121,10276,1,15.70,15.32,15.32,15.29,BDB
bf_0.59_0.00_k0550,5138,23121,10276,1,22.08,20.69,20.69,20.69,DDD
bf_0.59_0.00_k0750,5138,23121,10276,1,32.35,31.09,31.09,31.06,DDB
bf_0.59_0.00_k0950,5138,23121,10276,1,67.30,65.89,65.89,65.29,BDB
bf_0.63_1.00_k0300,5138,23121,10276,1,14.76,14.62,14.62,14.49,DDB
bf_0.63_1.00_k0550,5138,23121,10276,1,19.82,19.82,19.82,19.45,BDD
bf_0.63_1.00_k0750,5138,23121,10276,1,30.65,30.21,30.21,30.25,DDB
bf_0.63_1.00_k0950,5138,23121,10276,1,90.92,88.13,88.13,88.31,DDD
bf_0.76_0.00_k0300,5138,23121,10276,1,14.52,14.30,14.30,14.21,BDD
bf_0.76_0.00_k0550,5138,23121,10276,1,20.23,20.20,20.20,19.96,DBD
bf_0.76_0.00_k0750,5138,23121,10276,1,30.27,33.09,30.27,30.12,BBD
bf_0.76_0.00_k0950,5138,23121,10276,1,58.90,90.49,58.90,58.78,BBD
bf_0.78_0.84_k0300,5138,23121,10276,1,14.60,14.69,14.60,14.52,DBD
bf_0.78_0.84_k0550,5138,23121,10276,1,22.31,20.95,20.95,20.83,BDD
bf_0.78_0.84_k0750,5138,23121,10276,1,49.63,38.72,38.72,37.81,BDB
bf_0.78_0.84_k0950,5138,23121,10276,1,591.26,349.49,349.49,349.26,BDD
bf_0.86_0.00_k0300,5138,23121,10276,1,15.32,15.35,15.32,15.23,BBD
bf_0.86_0.00_k0550,5138,23121,10276,1,21.66,21.08,21.08,20.91,BDD
bf_0.86_0.00_k0750,5138,23121,10276,1,32.35,29.70,29.70,29.70,DDD
bf_0.86_0.00_k0950,5138,23121,10276,1,88.29,58.44,58.44,57.47,BDD
bf_0.90_0.80_k0300,5138,23121,10276,1,17.01,16.10,16.10,16.05,DDB
bf_0.90_0.80_k0550,5138,23121,10276,1,26.60,26.10,26.10,25.79,BDD
bf_0.90_0.80_k0750,5138,23121,10276,1,107.27,50.01,50.01,48.82,BDD
bf_0.90_0.80_k0950,5138,23121,10276,1,805.60,445.85,445.85,446.09,DDD
