cell,w0_len,w1_len,w2_len,w3_len,w4_len,bl_mean,dp_mean,cell_oracle,phase_oracle,winners
maxES_3000_k0470,5809,5809,23239,23239,1,49.00,42.24,42.24,42.52,DBDD
maxES_3000_k0550,5809,5809,23239,23239,1,95.59,168.81,95.59,95.88,BBDB
maxES_3000_k0650,5809,5809,23239,23239,1,435.12,428.33,428.33,428.56,DDBD
maxES_3000_k1000,5809,5809,23239,23239,1,849.14,803.54,803.54,800.23,DDDD
maxES_3000_k1100,5809,5809,23239,23239,1,953.35,927.07,927.07,920.06,DBBD
maxES_3001_k0470,5809,5809,23239,23239,1,44.21,51.26,44.21,44.11,DBDB
maxES_3001_k0550,5809,5809,23239,23239,1,167.86,150.26,150.26,151.68,DBBD
maxES_3001_k0650,5809,5809,23239,23239,1,449.21,415.05,415.05,416.15,DDDD
maxES_3001_k1000,5809,5809,23239,23239,1,888.10,793.12,793.12,795.56,DDBD
maxES_3001_k1100,5809,5809,23239,23239,1,1117.47,1055.32,1055.32,1057.54,DBBD
maxES_3002_k0470,5809,5809,23239,23239,1,39.48,40.44,39.48,39.24,BDDB
maxES_3002_k0550,5809,5809,23239,23239,1,141.91,144.29,141.91,141.59,DBDB
maxES_3002_k0650,5809,5809,23239,23239,1,401.34,436.90,401.34,400.85,BBBB
maxES_3002_k1000,5809,5809,23239,23239,1,817.98,740.31,740.31,736.28,DDBB
maxES_3002_k1100,5809,5809,23239,23239,1,1001.91,972.03,972.03,959.53,DBDB
maxES_3003_k0470,5809,5809,23239,23239,1,50.68,46.66,46.66,46.15,BDBD
maxES_3003_k0550,5809,5809,23239,23239,1,129.10,178.80,129.10,128.71,BBBB
maxES_3003_k0650,5809,5809,23239,23239,1,356.77,344.30,344.30,341.72,BBBD
maxES_3003_k1000,5809,5809,23239,23239,1,785.34,797.97,785.34,783.22,BBBD
maxES_3003_k1100,5809,5809,23239,23239,1,933.64,992.35,933.64,933.29,BBDB
maxES_3004_k0470,5809,5809,23239,23239,1,41.89,46.05,41.89,42.00,BBDB
maxES_3004_k0550,5809,5809,23239,23239,1,106.43,146.74,106.43,106.72,BDDB
maxES_3004_k0650,5809,5809,23239,23239,1,416.63,377.42,377.42,377.53,DDDD
maxES_3004_k1000,5809,5809,23239,23239,1,939.98,873.47,873.47,869.15,DDDB
maxES_3004_k1100,5809,5809,23239,23239,1,1181.70,1183.43,1181.70,1171.16,DDDB
maxES_3005_k0470,5809,5809,23239,23239,1,40.55,46.20,40.55,40.09,BDBB
maxES_3005_k0550,5809,5809,23239,23239,1,160.94,157.26,157.26,156.25,DBDD
maxES_3005_k0650,5809,5809,23239,23239,1,409.10,451.03,409.10,396.25,DDBB
maxES_3005_k1000,5809,5809,23239,23239,1,997.95,859.56,859.56,857.88,DDDB
maxES_3005_k1100,5809,5809,23239,23239,1,1057.06,1045.58,1045.58,1035.84,BDDD
maxES_3006_k0470,5809,5809,23239,23239,1,43.31,49.53,43.31,43.09,BDBB
maxES_3006_k0550,5809,5809,23239,23239,1,122.15,109.91,109.91,110.35,DDBD
maxES_3006_k0650,5809,5809,23239,23239,1,423.94,329.87,329.87,329.22,DDBD
maxES_3006_k1000,5809,5809,23239,23239,1,903.52,877.25,877.25,824.52,DBDB
maxES_3006_k1100,5809,5809,23239,23239,1,1154.19,1009.81,1009.81,990.85,DBBD
maxES_3007_k0470,5809,5809,23239,23239,1,48.43,39.45,39.45,39.72,DDDD
maxES_3007_k0550,5809,5809,23239,23239,1,118.12,135.88,118.12,116.32,DBBB
maxES_3007_k0650,5809,5809,23239,23239,1,414.44,427.87,414.44,410.38,BBBB
maxES_3007_k1000,5809,5809,23239,23239,1,1027.61,980.43,980.43,961.06,DBBD
maxES_3007_k1100,5809,5809,23239,23239,1,1106.86,1093.69,1093.69,1037.93,BBDD
minES_3000_k0470,5809,5809,23239,23239,1,44.15,41.49,41.49,40.90,BBDD
minES_3000_k0550,5809,5809,23239,23239,1,177.31,220.00,177.31,179.07,BDDB
minES_3000_k0650,5809,5809,23239,23239,1,427.87,363.74,363.74,364.29,DBBD
minES_3000_k1000,5809,5809,23239,23239,1,721.96,722.60,721.96,694.14,BBBD
minES_3000_k1100,5809,5809,23239,23239,1,934.33,895.54,895.54,884.04,BBBD
minES_3001_k0470,5809,5809,23239,23239,1,46.91,41.47,41.47,39.61,BBDD
minES_3001_k0550,5809,5809,23239,23239,1,173.68,147.61,147.61,146.06,BDBD
minES_3001_k0650,5809,5809,23239,23239,1,374.35,339.48,339.48,333.75,DBBD
minES_3001_k1000,5809,5809,23239,23239,1,822.52,812.78,812.78,782.10,DBBB
minES_3001_k1100,5809,5809,23239,23239,1,1034.79,966.98,966.98,971.14,DDDD
minES_3002_k0470,5809,5809,23239,23239,1,44.80,43.21,43.21,42.66,BBBD
minES_3002_k0550,5809,5809,23239,23239,1,171.77,144.96,144.96,145.04,BDDD
minES_3002_k0650,5809,5809,23239,23239,1,419.14,389.46,389.46,389.93,DDDD
minES_3002_k1000,5809,5809,23239,23239,1,786.16,756.97,756.97,755.96,DBDD
minES_3002_k1100,5809,5809,23239,23239,1,1084.13,966.82,966.82,965.86,DDDD
minES_3003_k0470,5809,5809,23239,23239,1,52.95,49.07,49.07,48.27,BDDD
minES_3003_k0550,5809,5809,23239,23239,1,187.38,179.35,179.35,178.85,DDBD
minES_3003_k0650,5809,5809,23239,23239,1,368.32,351.65,351.65,352.75,DDBD
minES_3003_k1000,5809,5809,23239,23239,1,860.94,831.12,831.12,811.76,BDDD
minES_3003_k1100,5809,5809,23239,23239,1,1007.81,965.21,965.21,956.60,BBDD
minES_3004_k0470,5809,5809,23239,23239,1,44.31,50.23,44.31,44.19,BBDB
minES_3004_k0550,5809,5809,23239,23239,1,144.56,175.36,144.56,142.82,BDBB
minES_3004_k0650,5809,5809,23239,23239,1,344.20,373.22,344.20,341.85,BDBB
minES_3004_k1000,5809,5809,23239,23239,1,913.65,959.65,913.65,911.00,BBBB
minES_3004_k1100,5809,5809,23239,23239,1,1200.98,1158.04,1158.04,1141.34,DBBD
minES_3005_k0470,5809,5809,23239,23239,1,42.02,54.64,42.02,42.00,BDBB
minES_3005_k0550,5809,5809,23239,23239,1,144.64,189.80,144.64,141.95,DBDB
