cell,w0_len,w1_len,w2_len,w3_len,bl_mean,dp_mean,cell_oracle,phase_oracle,winners
bfv_0.53_0.00_k0150,23121,46242,46242,1,14.58,14.53,14.53,14.51,DDB
bfv_0.53_0.00_k0250,23121,46242,46242,1,17.79,17.23,17.23,17.25,DDD
bfv_0.53_0.00_k0350,23121,46242,46242,1,21.24,21.01,21.01,20.98,BDD
bfv_0.53_0.00_k0450,23121,46242,46242,1,27.32,27.44,27.32,26.84,BDD
bfv_0.53_0.00_k0550,23121,46242,46242,1,94.97,58.75,58.75,58.75,DDD
bfv_0.56_1.00_k0150,23121,46242,46242,1,15.17,14.95,14.95,14.96,DDD
bfv_0.56_1.00_k0250,23121,46242,46242,1,18.32,17.50,17.50,17.49,DDD
bfv_0.56_1.00_k0350,23121,46242,46242,1,22.51,21.28,21.28,21.28,DDD
bfv_0.56_1.00_k0450,23121,46242,46242,1,29.99,28.85,28.85,28.87,DDD
bfv_0.56_1.00_k0550,23121,46242,46242,1,70.49,84.39,70.49,69.21,BDD
bfv_0.63_0.00_k0150,23121,46242,46242,1,14.64,14.21,14.21,14.21,DDD
bfv_0.63_0.00_k0250,23121,46242,46242,1,17.50,17.08,17.08,17.08,DDD
bfv_0.63_0.00_k0350,23121,46242,46242,1,21.66,20.76,20.76,20.75,DDD
bfv_0.63_0.00_k0450,23121,46242,46242,1,29.13,28.53,28.53,28.17,BDD
bfv_0.63_0.00_k0550,23121,46242,46242,1,72.99,45.93,45.93,45.86,DDD
bfv_0.64_1.00_k0150,23121,46242,46242,1,15.30,15.07,15.07,14.97,DDB
bfv_0.64_1.00_k0250,23121,46242,46242,1,18.54,17.77,17.77,17.78,DDD
bfv_0.64_1.00_k0350,23121,46242,46242,1,22.26,21.57,21.57,21.55,DDD
bfv_0.64_1.00_k0450,23121,46242,46242,1,29.30,27.11,27.11,27.11,DDD
bfv_0.64_1.00_k0550,23121,46242,46242,1,74.51,62.97,62.97,63.03,DDD
bfv_0.73_0.03_k0150,23121,46242,46242,1,14.82,14.39,14.39,14.39,DDD
bfv_0.73_0.03_k0250,23121,46242,46242,1,17.53,17.01,17.01,17.03,DDD
bfv_0.73_0.03_k0350,23121,46242,46242,1,21.54,21.14,21.14,21.08,DBD
bfv_0.73_0.03_k0450,23121,46242,46242,1,28.88,27.83,27.83,27.79,DDD
bfv_0.73_0.03_k0550,23121,46242,46242,1,59.64,76.54,59.64,59.49,BDD
bfv_0.74_0.89_k0150,23121,46242,46242,1,15.05,14.62,14.62,14.61,DDD
bfv_0.74_0.89_k0250,23121,46242,46242,1,17.61,17.42,17.42,17.30,BDD
bfv_0.74_0.89_k0350,23121,46242,46242,1,21.94,20.79,20.79,20.79,DDD
bfv_0.74_0.89_k0450,23121,46242,46242,1,30.93,26.85,26.85,26.86,DDD
bfv_0.74_0.89_k0550,23121,46242,46242,1,59.28,68.55,59.28,57.91,BDD
bfv_0.91_0.50_k0150,23121,46242,46242,1,14.94,14.67,14.67,14.67,DDD
bfv_0.91_0.50_k0250,23121,46242,46242,1,17.82,17.34,17.34,17.33,DDD
bfv_0.91_0.50_k0350,23121,46242,46242,1,22.35,20.88,20.88,20.88,DDD
bfv_0.91_0.50_k0450,23121,46242,46242,1,30.74,27.52,27.52,27.50,DDD
bfv_0.91_0.50_k0550,23121,46242,46242,1,72.15,60.82,60.82,60.77,DDD
bfv_0.97_1.00_k0150,23121,46242,46242,1,16.44,16.32,16.32,16.25,BDD
bfv_0.97_1.00_k0250,23121,46242,46242,1,20.70,20.60,20.60,20.13,BDD
bfv_0.97_1.00_k0350,23121,46242,46242,1,26.62,25.73,25.73,25.77,DDD
bfv_0.97_1.00_k0450,23121,46242,46242,1,41.67,44.72,41.67,40.40,BDD
bfv_0.97_1.00_k0550,23121,46242,46242,1,182.71,167.95,167.95,168.09,DDD
