arm,seed,PL,PL_PF,E,E_transit,first_hop,CC,CCx,perm
minCC,4000,0.50639,0.6667,0.1429,0.0,1.0,515574.1,1.0,93 53 94 90 99 89 100 96 59 46 9 92 95 47 10 56 58 82 45 91 51 65 43 68 52 29 44 32 50 64 79 62
fairE,4000,0.50639,0.6667,0.1429,0.0,1.0,515574.1,1.0,93 53 94 90 99 89 100 96 59 46 9 92 95 47 10 56 58 82 45 91 51 65 43 68 52 29 44 32 50 64 79 62
minCC,4001,0.680235,0.8955,0.0429,0.0429,0.9571,488995.7,1.0,57 53 62 56 58 59 63 55 16 86 85 25 17 50 84 61 52 92 49 26 46 45 20 21 82 51 14 15 10 44 19 27
fairE,4001,0.60699,0.7991,0.7598,0.7598,0.2402,513222.4,1.0495,57 58 93 56 22 59 64 55 16 86 85 25 17 92 49 61 52 50 91 26 46 45 20 21 82 51 14 15 10 44 19 27
minCC,4002,0.588057,0.7742,0.2619,0.2619,0.7381,483742.4,1.0,52 87 82 57 46 86 76 51 99 56 94 14 100 92 88 8 93 50 95 15 54 97 4 26 55 91 40 27 18 98 10 20
fairE,4002,0.443374,0.5837,1.0,1.0,0.0,503813.7,1.0415,52 87 82 57 46 86 76 9 99 56 94 14 100 92 88 8 93 50 95 15 54 97 4 26 55 91 40 27 18 98 10 20
minCC,4003,0.494157,0.6506,0.1216,0.1216,0.8784,486800.2,1.0,50 49 20 22 56 55 26 23 86 88 45 44 85 87 51 43 92 89 9 8 11 10 100 52 47 16 94 58 5 4 64 46
fairE,4003,0.477905,0.6292,0.3898,0.2763,0.3406,510242.6,1.0482,50 49 13 22 56 55 26 23 86 88 45 44 85 87 51 43 93 89 9 8 11 10 100 52 47 16 94 58 5 4 64 46
minCC,4004,0.465052,0.6122,0.0667,0.0667,0.9333,481077.0,1.0,91 92 84 63 96 98 78 99 49 44 57 54 85 86 93 90 55 45 51 48 43 61 103 14 37 62 97 8 42 25 67 50
fairE,4004,0.45224,0.5954,0.5201,0.0402,0.9598,504597.5,1.0489,91 92 84 93 96 98 78 99 49 44 57 54 85 86 105 90 55 45 63 48 43 61 103 14 37 62 97 8 42 25 67 50
minCC,4005,0.596817,0.7857,0.0909,0.0,1.0,468532.6,1.0,14 27 15 13 8 26 16 7 19 45 56 74 21 9 20 75 18 51 55 73 62 49 86 44 68 43 50 80 98 85 92 38
fairE,4005,0.575114,0.7571,0.2453,0.0,1.0,486094.9,1.0375,14 22 15 13 8 34 16 7 19 45 56 74 21 9 20 75 18 51 55 73 62 49 86 44 68 43 50 80 98 85 92 38
minCC,4006,0.44083,0.5804,-0.0,0.0,1.0,485624.3,1.0,92 68 52 93 56 67 16 99 58 87 82 98 57 51 88 62 94 86 81 97 64 85 22 75 100 79 23 76 63 91 28 74
fairE,4006,0.44083,0.5804,-0.0,0.0,1.0,485624.3,1.0,92 68 52 93 56 67 16 99 58 87 82 98 57 51 88 62 94 86 81 97 64 85 22 75 100 79 23 76 63 91 28 74
minCC,4007,0.515433,0.6786,0.1579,0.0,1.0,498874.2,1.0,26 8 64 62 25 7 100 61 52 80 27 56 16 44 28 50 58 86 63 57 90 85 53 9 96 79 47 45 91 49 59 15
fairE,4007,0.515433,0.6786,0.1579,0.0,1.0,498874.2,1.0,26 8 64 62 25 7 100 61 52 80 27 56 16 44 28 50 58 86 63 57 90 85 53 9 96 79 47 45 91 49 59 15
