workload,crossbars_total,crossbars_per_tile,tiles,intra_tile_Gbit,inter_tile_Gbit,inter_share
ResNet-50,12504,4,3126,0.0185,0.0037,0.1682
ResNet-50,12504,8,1563,0.0209,0.0014,0.061
ResNet-50,12504,16,782,0.0218,0.0005,0.0203
ResNet-50,12504,32,391,0.0222,0.0001,0.0034
ResNet-50,12504,64,196,0.0222,0.0,0.0
VGG-16,67576,4,16894,0.0855,0.0267,0.2381
VGG-16,67576,8,8447,0.1013,0.011,0.0976
VGG-16,67576,16,4224,0.108,0.0043,0.038
VGG-16,67576,32,2112,0.1111,0.0011,0.0101
VGG-16,67576,64,1056,0.1122,0.0,0.0001
ViT-Base,42138,4,10535,0.0914,0.0238,0.2063
ViT-Base,42138,8,5268,0.1115,0.0036,0.0315
ViT-Base,42138,16,2634,0.1133,0.0018,0.0158
ViT-Base,42138,32,1317,0.1151,0.0,0.0
ViT-Base,42138,64,659,0.1151,0.0,0.0
