workload,c,r,s,tiles,reduce_Gbit,scatter_Gbit,total_Gbit,reduce_share
ResNet-50,1,1,1,12504,0.044486,1.928995,1.973481,0.0225
ResNet-50,2,2,1,6372,0.017676,1.928995,1.946671,0.0091
ResNet-50,4,4,1,3572,0.007482,1.928995,1.936477,0.0039
ResNet-50,8,8,1,2458,0.002712,1.928995,1.931706,0.0014
ResNet-50,16,16,1,2011,0.000903,1.928995,1.929898,0.0005
ResNet-50,32,32,1,1819,0.000151,1.928995,1.929145,0.0001
ResNet-50,64,64,1,1723,0.0,1.928995,1.928995,0.0
VGG-16,1,1,1,67576,0.224495,7.735149,7.959643,0.0282
VGG-16,2,2,1,33808,0.109127,7.735149,7.844276,0.0139
VGG-16,4,4,1,16956,0.053451,7.735149,7.788599,0.0069
VGG-16,8,8,1,8732,0.021903,7.735149,7.757052,0.0028
VGG-16,16,16,1,4614,0.008538,7.735149,7.743687,0.0011
VGG-16,32,32,1,2535,0.002257,7.735149,7.737405,0.0003
VGG-16,64,64,1,1607,2.5e-05,7.735149,7.735173,0.0
ViT-Base,1,1,1,42138,0.230275,8.424253,8.654528,0.0266
ViT-Base,2,2,1,21069,0.098646,8.424253,8.522899,0.0116
ViT-Base,4,4,1,12894,0.047507,8.424253,8.471761,0.0056
ViT-Base,8,8,1,6447,0.007262,8.424253,8.431516,0.0009
ViT-Base,16,16,1,5871,0.003631,8.424253,8.427885,0.0004
ViT-Base,32,32,1,5295,0.0,8.424253,8.424253,0.0
ViT-Base,64,64,1,5295,0.0,8.424253,8.424253,0.0
