workload,c,r,s,tiles,inter_psum_Gbit,scatter_Gbit,inter_total_Gbit,psum_share
ResNet-50,1,1,1,12504,0.022243,2.101199,2.123442,0.0105
ResNet-50,2,1,2,6260,0.022243,1.050608,1.072851,0.0207
ResNet-50,4,1,4,3130,0.022243,0.525304,0.547547,0.0406
ResNet-50,8,1,8,1576,0.022243,0.30761,0.329853,0.0674
ResNet-50,16,1,16,824,0.022243,0.218833,0.241076,0.0923
ResNet-50,32,1,32,526,0.022243,0.196121,0.218364,0.1019
ResNet-50,64,1,64,454,0.022243,0.190886,0.213129,0.1044
VGG-16,1,1,1,67576,0.112247,8.051458,8.163705,0.0137
VGG-16,2,1,2,33804,0.112247,4.025745,4.137993,0.0271
VGG-16,4,1,4,16902,0.112247,2.012873,2.12512,0.0528
VGG-16,8,1,8,8454,0.112247,1.160577,1.272824,0.0882
VGG-16,16,1,16,4237,0.112247,0.824345,0.936592,0.1198
VGG-16,32,1,32,2151,0.112247,0.728482,0.840729,0.1335
VGG-16,64,1,64,1207,0.112247,0.727515,0.839762,0.1337
ViT-Base,1,1,1,42138,0.115137,8.424253,8.539391,0.0135
ViT-Base,2,1,2,21072,0.115137,4.21213,4.327267,0.0266
ViT-Base,4,1,4,10536,0.115137,2.106065,2.221202,0.0518
ViT-Base,8,1,8,5268,0.115137,1.053032,1.16817,0.0986
ViT-Base,16,1,16,2634,0.115137,0.526516,0.641654,0.1794
ViT-Base,32,1,32,1536,0.115137,0.307433,0.422571,0.2725
ViT-Base,64,1,64,804,0.115137,0.160979,0.276116,0.417
