% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_dnn_traffic.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn/resnet50_bottleneck3_xb128_6x6x3.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=3240, SIM=259200, 10.3 block passes measured)
% LOAD_SCALE=0.05  CYCLES_PER_MAC=0.00013  t_period=25047
% phases:  conv1=[0,3339)  conv2=[3339,18367)  conv3=[18367,25046)  shortcut=[0,25046)
% src dst pir por t_on t_off t_period
    0     2 0.0006890354 0.0006890354        0     3339    25047
    0     3 0.0006890354 0.0006890354        0     3339    25047
    0     4 0.0006890354 0.0006890354        0     3339    25047
    0     5 0.0007339724 0.0007339724        0     3339    25047
    0     8 0.0006890354 0.0006890354        0     3339    25047
    0     9 0.0006890354 0.0006890354        0     3339    25047
    0    20 0.0005270513 0.0005270513        0    25046    25047
    0    21 0.0005270513 0.0005270513        0    25046    25047
    0    22 0.0005270513 0.0005270513        0    25046    25047
    0    36 0.0039544638 0.0039544638        0     3339    25047
    0    38 0.0006890354 0.0006890354        0     3339    25047
    0    39 0.0006890354 0.0006890354        0     3339    25047
    0    40 0.0006890354 0.0006890354        0     3339    25047
    0    41 0.0006890354 0.0006890354        0     3339    25047
    0    44 0.0006890354 0.0006890354        0     3339    25047
    0    45 0.0006890354 0.0006890354        0     3339    25047
    0    56 0.0005270513 0.0005270513        0    25046    25047
    0    57 0.0005270513 0.0005270513        0    25046    25047
    0    58 0.0005270513 0.0005270513        0    25046    25047
    0    74 0.0006890354 0.0006890354        0     3339    25047
    0    75 0.0006890354 0.0006890354        0     3339    25047
    0    76 0.0007339724 0.0007339724        0     3339    25047
    0    77 0.0006890354 0.0006890354        0     3339    25047
    0    80 0.0006890354 0.0006890354        0     3339    25047
    0    81 0.0006890354 0.0006890354        0     3339    25047
    0    92 0.0005270513 0.0005270513        0    25046    25047
