src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,101,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,102,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,103,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,104,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,108,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,109,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,110,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
0,111,conv2,scatter,25088,392,23120,0.0008477509,5138,28259,38536
1,49,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
2,0,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
3,101,shortcut,add,25088,392,38534,0.0005086417,0,38535,38536
4,103,shortcut,add,25088,392,38534,0.0005086417,0,38535,38536
5,108,shortcut,add,25088,392,38534,0.0005086417,0,38535,38536
6,110,shortcut,add,25088,392,38534,0.0005086417,0,38535,38536
7,49,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
8,0,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
9,49,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
10,3,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
11,4,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
12,5,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
13,6,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
14,0,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
15,49,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
16,0,conv2,reduce,100352,1568,23120,0.0033910035,5138,28259,38536
17,3,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
18,4,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
19,5,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
20,6,shortcut,reduce,100352,1568,38534,0.0020345669,0,38535,38536
