src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,49,s1b0_c1,scatter,200704,3136,4997,0.0313788273,15341,20339,492872
0,50,s1b0_sc,scatter,200704,3136,26704,0.0058717795,15341,42046,492872
1,51,s1b1_sc,add,802816,12544,28385,0.0220961776,42046,70432,492872
1,99,s1b1_c1,scatter,802816,12544,6678,0.0939203354,42046,48725,492872
2,51,s1b1_c3,scatter,200704,3136,6678,0.0234800839,63753,70432,492872
3,52,s1b2_c3,scatter,200704,3136,6678,0.0234800839,92139,98818,492872
4,53,s2b0_c3,scatter,100352,1568,6678,0.0117400419,127204,133883,492872
5,54,s2b1_c2,scatter,100352,1568,15027,0.0052172756,140562,155590,492872
6,55,s2b2_c2,scatter,100352,1568,15027,0.0052172756,168948,183976,492872
7,56,s2b3_c2,scatter,100352,1568,15027,0.0052172756,197334,212362,492872
8,9,s3b0_c2,scatter,50176,784,15027,0.0026086378,232399,247427,492872
8,57,s3b0_c2,scatter,50176,784,15027,0.0026086378,232399,247427,492872
8,106,s3b0_c2,scatter,50176,784,15027,0.0026086378,232399,247427,492872
9,58,s3b0_c3,scatter,16856,264,6678,0.0019766397,247427,254106,492872
9,107,s3b0_c3,scatter,16856,264,6678,0.0019766397,247427,254106,492872
10,58,s3b0_sc,add,67032,1048,35064,0.0014944102,219041,254106,492872
11,12,s3b1_c2,scatter,25088,392,15027,0.0013043189,260785,275813,492872
11,61,s3b1_c2,scatter,25088,392,15027,0.0013043189,260785,275813,492872
11,109,s3b1_c2,scatter,25088,392,15027,0.0013043189,260785,275813,492872
12,13,s3b1_c3,scatter,16856,264,6678,0.0019766397,275813,282492,492872
12,110,s3b1_c3,scatter,16856,264,6678,0.0019766397,275813,282492,492872
13,62,s3b2_c1,scatter,100352,1568,6678,0.0117400419,282492,289171,492872
13,64,s3b2_sc,add,100352,1568,28385,0.0027620222,282492,310878,492872
13,111,s3b2_c1,scatter,100352,1568,6678,0.0117400419,282492,289171,492872
14,15,s3b2_c3,scatter,16856,264,6678,0.0019766397,304199,310878,492872
14,64,s3b2_c3,scatter,16856,264,6678,0.0019766397,304199,310878,492872
15,16,s3b3_c1,scatter,100352,1568,6678,0.0117400419,310878,317557,492872
15,66,s3b3_sc,add,100352,1568,28385,0.0027620222,310878,339264,492872
15,113,s3b3_c1,scatter,100352,1568,6678,0.0117400419,310878,317557,492872
16,17,s3b3_c2,scatter,25088,392,15027,0.0013043189,317557,332585,492872
16,65,s3b3_c2,scatter,25088,392,15027,0.0013043189,317557,332585,492872
16,114,s3b3_c2,scatter,25088,392,15027,0.0013043189,317557,332585,492872
17,66,s3b3_c3,scatter,16856,264,6678,0.0019766397,332585,339264,492872
17,115,s3b3_c3,scatter,16856,264,6678,0.0019766397,332585,339264,492872
18,19,s3b4_c2,scatter,25088,392,15027,0.0013043189,345943,360971,492872
18,68,s3b4_c2,scatter,25088,392,15027,0.0013043189,345943,360971,492872
18,116,s3b4_c2,scatter,25088,392,15027,0.0013043189,345943,360971,492872
19,20,s3b4_c3,scatter,16856,264,6678,0.0019766397,360971,367650,492872
19,117,s3b4_c3,scatter,16856,264,6678,0.0019766397,360971,367650,492872
