node,x,y,z,layer,kind,rt,ct,R,C,Rt,Ct,crossbars,tiles
0,0,0,0,stem,conv,0,0,2,4,1,1,8,1
49,0,0,1,s1b0_c1,conv,0,0,1,4,1,1,4,1
98,0,0,2,s1b0_c2,conv,0,0,5,4,1,1,20,1
1,1,0,0,s1b0_c3,conv,0,0,1,16,1,1,16,1
50,1,0,1,s1b0_sc,proj,0,0,1,16,1,1,16,1
99,1,0,2,s1b1_c1,conv,0,0,2,4,1,1,8,1
2,2,0,0,s1b1_c2,conv,0,0,5,4,1,1,20,1
51,2,0,1,s1b1_c3,conv,0,0,1,16,1,1,16,1
100,2,0,2,s1b2_c1,conv,0,0,2,4,1,1,8,1
3,3,0,0,s1b2_c2,conv,0,0,5,4,1,1,20,1
52,3,0,1,s1b2_c3,conv,0,0,1,16,1,1,16,1
101,3,0,2,s2b0_c1,conv,0,0,2,8,1,1,16,1
4,4,0,0,s2b0_c2,conv,0,0,9,8,1,1,72,1
53,4,0,1,s2b0_c3,conv,0,0,1,32,1,1,32,1
102,4,0,2,s2b0_sc,proj,0,0,2,32,1,1,64,1
5,5,0,0,s2b1_c1,conv,0,0,4,8,1,1,32,1
54,5,0,1,s2b1_c2,conv,0,0,9,8,1,1,72,1
103,5,0,2,s2b1_c3,conv,0,0,1,32,1,1,32,1
6,6,0,0,s2b2_c1,conv,0,0,4,8,1,1,32,1
55,6,0,1,s2b2_c2,conv,0,0,9,8,1,1,72,1
104,6,0,2,s2b2_c3,conv,0,0,1,32,1,1,32,1
7,0,1,0,s2b3_c1,conv,0,0,4,8,1,1,32,1
56,0,1,1,s2b3_c2,conv,0,0,9,8,1,1,72,1
105,0,1,2,s2b3_c3,conv,0,0,1,32,1,1,32,1
8,1,1,0,s3b0_c1,conv,0,0,4,16,1,1,64,1
57,1,1,1,s3b0_c2,conv,0,0,18,16,1,3,288,3
106,1,1,2,s3b0_c2,conv,0,1,18,16,1,3,288,3
9,2,1,0,s3b0_c2,conv,0,2,18,16,1,3,288,3
58,2,1,1,s3b0_c3,conv,0,0,2,64,1,2,128,2
107,2,1,2,s3b0_c3,conv,0,1,2,64,1,2,128,2
10,3,1,0,s3b0_sc,proj,0,0,4,64,1,3,256,3
59,3,1,1,s3b0_sc,proj,0,1,4,64,1,3,256,3
108,3,1,2,s3b0_sc,proj,0,2,4,64,1,3,256,3
11,4,1,0,s3b1_c1,conv,0,0,8,16,1,2,128,2
60,4,1,1,s3b1_c1,conv,0,1,8,16,1,2,128,2
109,4,1,2,s3b1_c2,conv,0,0,18,16,1,3,288,3
12,5,1,0,s3b1_c2,conv,0,1,18,16,1,3,288,3
61,5,1,1,s3b1_c2,conv,0,2,18,16,1,3,288,3
110,5,1,2,s3b1_c3,conv,0,0,2,64,1,2,128,2
13,6,1,0,s3b1_c3,conv,0,1,2,64,1,2,128,2
62,6,1,1,s3b2_c1,conv,0,0,8,16,1,2,128,2
111,6,1,2,s3b2_c1,conv,0,1,8,16,1,2,128,2
14,0,2,0,s3b2_c2,conv,0,0,18,16,1,3,288,3
63,0,2,1,s3b2_c2,conv,0,1,18,16,1,3,288,3
112,0,2,2,s3b2_c2,conv,0,2,18,16,1,3,288,3
15,1,2,0,s3b2_c3,conv,0,0,2,64,1,2,128,2
64,1,2,1,s3b2_c3,conv,0,1,2,64,1,2,128,2
113,1,2,2,s3b3_c1,conv,0,0,8,16,1,2,128,2
16,2,2,0,s3b3_c1,conv,0,1,8,16,1,2,128,2
65,2,2,1,s3b3_c2,conv,0,0,18,16,1,3,288,3
114,2,2,2,s3b3_c2,conv,0,1,18,16,1,3,288,3
17,3,2,0,s3b3_c2,conv,0,2,18,16,1,3,288,3
66,3,2,1,s3b3_c3,conv,0,0,2,64,1,2,128,2
115,3,2,2,s3b3_c3,conv,0,1,2,64,1,2,128,2
18,4,2,0,s3b4_c1,conv,0,0,8,16,1,2,128,2
67,4,2,1,s3b4_c1,conv,0,1,8,16,1,2,128,2
116,4,2,2,s3b4_c2,conv,0,0,18,16,1,3,288,3
19,5,2,0,s3b4_c2,conv,0,1,18,16,1,3,288,3
68,5,2,1,s3b4_c2,conv,0,2,18,16,1,3,288,3
117,5,2,2,s3b4_c3,conv,0,0,2,64,1,2,128,2
20,6,2,0,s3b4_c3,conv,0,1,2,64,1,2,128,2
69,6,2,1,s3b5_c1,conv,0,0,8,16,1,2,128,2
118,6,2,2,s3b5_c1,conv,0,1,8,16,1,2,128,2
21,0,3,0,s3b5_c2,conv,0,0,18,16,1,3,288,3
70,0,3,1,s3b5_c2,conv,0,1,18,16,1,3,288,3
119,0,3,2,s3b5_c2,conv,0,2,18,16,1,3,288,3
22,1,3,0,s3b5_c3,conv,0,0,2,64,1,2,128,2
71,1,3,1,s3b5_c3,conv,0,1,2,64,1,2,128,2
120,1,3,2,s4b0_c1,conv,0,0,8,32,1,3,256,3
23,2,3,0,s4b0_c1,conv,0,1,8,32,1,3,256,3
72,2,3,1,s4b0_c1,conv,0,2,8,32,1,3,256,3
121,2,3,2,s4b0_c2,conv,0,0,36,32,1,11,1152,11
24,3,3,0,s4b0_c2,conv,0,1,36,32,1,11,1152,11
73,3,3,1,s4b0_c2,conv,0,2,36,32,1,11,1152,11
122,3,3,2,s4b0_c2,conv,0,3,36,32,1,11,1152,11
25,4,3,0,s4b0_c2,conv,0,4,36,32,1,11,1152,11
74,4,3,1,s4b0_c2,conv,0,5,36,32,1,11,1152,11
123,4,3,2,s4b0_c2,conv,0,6,36,32,1,11,1152,11
26,5,3,0,s4b0_c2,conv,0,7,36,32,1,11,1152,11
75,5,3,1,s4b0_c2,conv,0,8,36,32,1,11,1152,11
124,5,3,2,s4b0_c2,conv,0,9,36,32,1,11,1152,11
27,6,3,0,s4b0_c2,conv,0,10,36,32,1,11,1152,11
76,6,3,1,s4b0_c3,conv,0,0,4,128,1,5,512,5
125,6,3,2,s4b0_c3,conv,0,1,4,128,1,5,512,5
28,0,4,0,s4b0_c3,conv,0,2,4,128,1,5,512,5
77,0,4,1,s4b0_c3,conv,0,3,4,128,1,5,512,5
