node,x,y,z,layer,kind,rt,ct,R,C,Rt,Ct,crossbars,tiles
0,0,0,0,b0a_q,conv,0,0,3,24,1,1,72,1
49,0,0,1,b0a_k,conv,0,0,3,24,1,1,72,1
98,0,0,2,b0a_v,conv,0,0,3,24,1,1,72,1
1,1,0,0,b0a_o_c3,conv,0,0,3,24,1,1,72,1
50,1,0,1,b0f_ff1,conv,0,0,3,96,1,3,288,3
99,1,0,2,b0f_ff1,conv,0,1,3,96,1,3,288,3
2,2,0,0,b0f_ff1,conv,0,2,3,96,1,3,288,3
51,2,0,1,b0f_ff2_c3,conv,0,0,12,24,1,3,288,3
100,2,0,2,b0f_ff2_c3,conv,0,1,12,24,1,3,288,3
3,3,0,0,b0f_ff2_c3,conv,0,2,12,24,1,3,288,3
52,3,0,1,b1a_q,conv,0,0,3,24,1,1,72,1
101,3,0,2,b1a_k,conv,0,0,3,24,1,1,72,1
4,4,0,0,b1a_v,conv,0,0,3,24,1,1,72,1
53,4,0,1,b1a_o_c3,conv,0,0,3,24,1,1,72,1
102,4,0,2,b1f_ff1,conv,0,0,3,96,1,3,288,3
5,5,0,0,b1f_ff1,conv,0,1,3,96,1,3,288,3
54,5,0,1,b1f_ff1,conv,0,2,3,96,1,3,288,3
103,5,0,2,b1f_ff2_c3,conv,0,0,12,24,1,3,288,3
6,6,0,0,b1f_ff2_c3,conv,0,1,12,24,1,3,288,3
55,6,0,1,b1f_ff2_c3,conv,0,2,12,24,1,3,288,3
104,6,0,2,b2a_q,conv,0,0,3,24,1,1,72,1
7,0,1,0,b2a_k,conv,0,0,3,24,1,1,72,1
56,0,1,1,b2a_v,conv,0,0,3,24,1,1,72,1
105,0,1,2,b2a_o_c3,conv,0,0,3,24,1,1,72,1
8,1,1,0,b2f_ff1,conv,0,0,3,96,1,3,288,3
57,1,1,1,b2f_ff1,conv,0,1,3,96,1,3,288,3
106,1,1,2,b2f_ff1,conv,0,2,3,96,1,3,288,3
9,2,1,0,b2f_ff2_c3,conv,0,0,12,24,1,3,288,3
58,2,1,1,b2f_ff2_c3,conv,0,1,12,24,1,3,288,3
107,2,1,2,b2f_ff2_c3,conv,0,2,12,24,1,3,288,3
10,3,1,0,b3a_q,conv,0,0,3,24,1,1,72,1
59,3,1,1,b3a_k,conv,0,0,3,24,1,1,72,1
108,3,1,2,b3a_v,conv,0,0,3,24,1,1,72,1
11,4,1,0,b3a_o_c3,conv,0,0,3,24,1,1,72,1
60,4,1,1,b3f_ff1,conv,0,0,3,96,1,3,288,3
109,4,1,2,b3f_ff1,conv,0,1,3,96,1,3,288,3
12,5,1,0,b3f_ff1,conv,0,2,3,96,1,3,288,3
61,5,1,1,b3f_ff2_c3,conv,0,0,12,24,1,3,288,3
110,5,1,2,b3f_ff2_c3,conv,0,1,12,24,1,3,288,3
13,6,1,0,b3f_ff2_c3,conv,0,2,12,24,1,3,288,3
62,6,1,1,b4a_q,conv,0,0,3,24,1,1,72,1
111,6,1,2,b4a_k,conv,0,0,3,24,1,1,72,1
14,0,2,0,b4a_v,conv,0,0,3,24,1,1,72,1
63,0,2,1,b4a_o_c3,conv,0,0,3,24,1,1,72,1
112,0,2,2,b4f_ff1,conv,0,0,3,96,1,3,288,3
15,1,2,0,b4f_ff1,conv,0,1,3,96,1,3,288,3
64,1,2,1,b4f_ff1,conv,0,2,3,96,1,3,288,3
113,1,2,2,b4f_ff2_c3,conv,0,0,12,24,1,3,288,3
16,2,2,0,b4f_ff2_c3,conv,0,1,12,24,1,3,288,3
65,2,2,1,b4f_ff2_c3,conv,0,2,12,24,1,3,288,3
114,2,2,2,b5a_q,conv,0,0,3,24,1,1,72,1
17,3,2,0,b5a_k,conv,0,0,3,24,1,1,72,1
66,3,2,1,b5a_v,conv,0,0,3,24,1,1,72,1
115,3,2,2,b5a_o_c3,conv,0,0,3,24,1,1,72,1
18,4,2,0,b5f_ff1,conv,0,0,3,96,1,3,288,3
67,4,2,1,b5f_ff1,conv,0,1,3,96,1,3,288,3
116,4,2,2,b5f_ff1,conv,0,2,3,96,1,3,288,3
19,5,2,0,b5f_ff2_c3,conv,0,0,12,24,1,3,288,3
