src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,3,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
0,9,attn_res,add,50432,788,60419,0.0006521127,0,60420,181263
0,36,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
0,39,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
0,72,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
0,75,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
1,0,q,reduce,201728,3152,15104,0.0104343220,0,15105,181263
1,37,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
1,45,attn_res,add,50432,788,60419,0.0006521127,0,60420,181263
1,73,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
2,0,q,reduce,201728,3152,15104,0.0104343220,0,15105,181263
2,38,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
2,74,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
2,81,attn_res,add,50432,788,60419,0.0006521127,0,60420,181263
3,6,k,scatter,50432,788,15104,0.0026085805,15105,30210,181263
3,42,k,scatter,50432,788,15104,0.0026085805,15105,30210,181263
3,78,k,scatter,50432,788,15104,0.0026085805,15105,30210,181263
4,3,k,reduce,201728,3152,15104,0.0104343220,15105,30210,181263
5,3,k,reduce,201728,3152,15104,0.0104343220,15105,30210,181263
6,9,v,scatter,50432,788,15104,0.0026085805,30210,45315,181263
6,45,v,scatter,50432,788,15104,0.0026085805,30210,45315,181263
6,81,v,scatter,50432,788,15104,0.0026085805,30210,45315,181263
7,6,v,reduce,201728,3152,15104,0.0104343220,30210,45315,181263
8,6,v,reduce,201728,3152,15104,0.0104343220,30210,45315,181263
9,12,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,13,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,14,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,15,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,24,ffn_res,add,50432,788,120841,0.0003260483,60420,181262,181263
9,48,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,49,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,50,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,51,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,84,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,85,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,86,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
9,87,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
10,9,o,reduce,201728,3152,15104,0.0104343220,45315,60420,181263
11,9,o,reduce,201728,3152,15104,0.0104343220,45315,60420,181263
12,24,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
12,60,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
12,96,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
13,27,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
13,63,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
13,99,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
14,30,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
14,66,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
14,102,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
15,33,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
15,69,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
15,105,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
16,12,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
17,13,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
18,14,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
19,15,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
20,12,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
21,13,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
22,14,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
23,15,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
25,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
26,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
27,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
28,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
29,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
30,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
31,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
32,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
33,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
34,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
35,24,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
36,4,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
36,40,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
36,76,q,scatter,50432,788,15104,0.0026085805,0,15105,181263
37,36,q,reduce,201728,3152,15104,0.0104343220,0,15105,181263
38,36,q,reduce,201728,3152,15104,0.0104343220,0,15105,181263
39,7,k,scatter,50432,788,15104,0.0026085805,15105,30210,181263
39,43,k,scatter,50432,788,15104,0.0026085805,15105,30210,181263
39,79,k,scatter,50432,788,15104,0.0026085805,15105,30210,181263
40,39,k,reduce,201728,3152,15104,0.0104343220,15105,30210,181263
41,39,k,reduce,201728,3152,15104,0.0104343220,15105,30210,181263
42,10,v,scatter,50432,788,15104,0.0026085805,30210,45315,181263
42,46,v,scatter,50432,788,15104,0.0026085805,30210,45315,181263
42,82,v,scatter,50432,788,15104,0.0026085805,30210,45315,181263
43,42,v,reduce,201728,3152,15104,0.0104343220,30210,45315,181263
44,42,v,reduce,201728,3152,15104,0.0104343220,30210,45315,181263
45,16,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,17,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,18,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,19,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,52,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,53,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,54,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,55,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,60,ffn_res,add,50432,788,120841,0.0003260483,60420,181262,181263
45,88,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,89,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,90,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
45,91,o,scatter,50432,788,15104,0.0026085805,45315,60420,181263
46,45,o,reduce,201728,3152,15104,0.0104343220,45315,60420,181263
47,45,o,reduce,201728,3152,15104,0.0104343220,45315,60420,181263
48,25,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
48,61,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
48,97,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
49,28,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
49,64,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
49,100,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
50,31,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
50,67,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
50,103,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
51,34,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
51,70,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
51,106,ff1,scatter,50432,788,60420,0.0006521020,60420,120841,181263
52,48,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
53,49,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
54,50,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
55,51,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
56,48,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
57,49,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
58,50,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
59,51,ff1,reduce,201728,3152,60420,0.0026084078,60420,120841,181263
61,60,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
62,60,ff2,reduce,201728,3152,60420,0.0026084078,120841,181262,181263
