node,x,y,z,layer,r,c,role
0,0,0,0,conv6,0,0,accumulator
1,1,0,0,conv6,1,1,tile
2,2,0,0,conv6,3,0,tile
3,3,0,0,conv6,4,1,tile
4,4,0,0,conv6,6,0,tile
5,5,0,0,conv6,7,1,tile
6,0,1,0,conv6,9,0,tile
7,1,1,0,conv6,10,1,tile
8,2,1,0,conv6,12,0,tile
9,3,1,0,conv6,13,1,tile
10,4,1,0,conv6,15,0,tile
11,5,1,0,conv6,16,1,tile
12,0,2,0,conv7,0,0,accumulator
13,1,2,0,conv7,1,1,tile
14,2,2,0,conv7,3,0,tile
15,3,2,0,conv7,4,1,tile
16,4,2,0,conv7,6,0,tile
17,5,2,0,conv7,7,1,tile
18,0,3,0,conv7,9,0,tile
19,1,3,0,conv7,10,1,tile
20,2,3,0,conv7,12,0,tile
21,3,3,0,conv7,13,1,tile
22,4,3,0,conv7,15,0,tile
23,5,3,0,conv7,16,1,tile
24,0,4,0,conv5,0,0,accumulator
25,1,4,0,conv5,1,1,tile
26,2,4,0,conv5,3,0,tile
27,3,4,0,-,,,idle
28,4,4,0,-,,,idle
29,5,4,0,-,,,idle
30,0,5,0,conv5,4,1,tile
31,1,5,0,conv5,6,0,tile
32,2,5,0,conv5,7,1,tile
33,3,5,0,-,,,idle
34,4,5,0,-,,,idle
35,5,5,0,-,,,idle
36,0,0,1,conv6,0,1,accumulator
37,1,0,1,conv6,2,0,tile
38,2,0,1,conv6,3,1,tile
39,3,0,1,conv6,5,0,tile
40,4,0,1,conv6,6,1,tile
41,5,0,1,conv6,8,0,tile
42,0,1,1,conv6,9,1,tile
43,1,1,1,conv6,11,0,tile
44,2,1,1,conv6,12,1,tile
45,3,1,1,conv6,14,0,tile
46,4,1,1,conv6,15,1,tile
47,5,1,1,conv6,17,0,tile
48,0,2,1,conv7,0,1,accumulator
49,1,2,1,conv7,2,0,tile
50,2,2,1,conv7,3,1,tile
51,3,2,1,conv7,5,0,tile
52,4,2,1,conv7,6,1,tile
53,5,2,1,conv7,8,0,tile
54,0,3,1,conv7,9,1,tile
55,1,3,1,conv7,11,0,tile
56,2,3,1,conv7,12,1,tile
57,3,3,1,conv7,14,0,tile
58,4,3,1,conv7,15,1,tile
59,5,3,1,conv7,17,0,tile
60,0,4,1,conv5,0,1,accumulator
61,1,4,1,conv5,2,0,tile
62,2,4,1,conv5,3,1,tile
63,3,4,1,-,,,idle
64,4,4,1,-,,,idle
65,5,4,1,-,,,idle
66,0,5,1,conv5,5,0,tile
67,1,5,1,conv5,6,1,tile
68,2,5,1,conv5,8,0,tile
69,3,5,1,-,,,idle
70,4,5,1,-,,,idle
71,5,5,1,-,,,idle
72,0,0,2,conv6,1,0,tile
73,1,0,2,conv6,2,1,tile
74,2,0,2,conv6,4,0,tile
75,3,0,2,conv6,5,1,tile
76,4,0,2,conv6,7,0,tile
77,5,0,2,conv6,8,1,tile
78,0,1,2,conv6,10,0,tile
79,1,1,2,conv6,11,1,tile
80,2,1,2,conv6,13,0,tile
81,3,1,2,conv6,14,1,tile
82,4,1,2,conv6,16,0,tile
83,5,1,2,conv6,17,1,tile
84,0,2,2,conv7,1,0,tile
85,1,2,2,conv7,2,1,tile
86,2,2,2,conv7,4,0,tile
87,3,2,2,conv7,5,1,tile
88,4,2,2,conv7,7,0,tile
89,5,2,2,conv7,8,1,tile
90,0,3,2,conv7,10,0,tile
91,1,3,2,conv7,11,1,tile
92,2,3,2,conv7,13,0,tile
93,3,3,2,conv7,14,1,tile
94,4,3,2,conv7,16,0,tile
95,5,3,2,conv7,17,1,tile
96,0,4,2,conv5,1,0,tile
97,1,4,2,conv5,2,1,tile
98,2,4,2,conv5,4,0,tile
99,3,4,2,-,,,idle
100,4,4,2,-,,,idle
101,5,4,2,-,,,idle
102,0,5,2,conv5,5,1,tile
103,1,5,2,conv5,7,0,tile
104,2,5,2,conv5,8,1,tile
105,3,5,2,-,,,idle
106,4,5,2,-,,,idle
107,5,5,2,-,,,idle
