% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_core.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table /tmp/claude-1000/-home-nizar-noxim3d-dnn/982fc518-8dc0-4a21-adec-984bc41c207f/scratchpad/rnbox/resnet50_bottleneck3_xb128_6x6x3_base_cpm1e-4.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=648, SIM=51840, 2.7 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0001  t_period=19268
% phases:  conv1=[0,2569)  conv2=[2569,14129)  conv3=[14129,19267)  shortcut=[0,19267)
% src dst pir por t_on t_off t_period
    0    72 0.0005290148 0.0005290148        0    19267    19268
    1    74 0.0005290148 0.0005290148        0    19267    19268
    2    78 0.0005290148 0.0005290148        0    19267    19268
    3    80 0.0005290148 0.0005290148        0    19267    19268
    4    72 0.0008817372 0.0008817372     2569    14129    19268
    4    73 0.0008817372 0.0008817372     2569    14129    19268
    4    74 0.0008817372 0.0008817372     2569    14129    19268
    4    75 0.0008817372 0.0008817372     2569    14129    19268
    4    78 0.0008817372 0.0008817372     2569    14129    19268
    4    79 0.0008817372 0.0008817372     2569    14129    19268
    4    80 0.0008817372 0.0008817372     2569    14129    19268
    4    81 0.0008817372 0.0008817372     2569    14129    19268
    5    40 0.0035269487 0.0035269487     2569    14129    19268
    6     0 0.0021160594 0.0021160594        0    19267    19268
    7     1 0.0021160594 0.0021160594        0    19267    19268
    8     2 0.0021160594 0.0021160594        0    19267    19268
    9     3 0.0021160594 0.0021160594        0    19267    19268
   10     4 0.0035269487 0.0035269487     2569    14129    19268
   11    40 0.0035269487 0.0035269487     2569    14129    19268
   12     0 0.0021160594 0.0021160594        0    19267    19268
   13     1 0.0021160594 0.0021160594        0    19267    19268
   14     2 0.0021160594 0.0021160594        0    19267    19268
   15     3 0.0021160594 0.0021160594        0    19267    19268
   16     4 0.0035269487 0.0035269487     2569    14129    19268
   17    40 0.0035269487 0.0035269487     2569    14129    19268
   18     0 0.0021160594 0.0021160594        0    19267    19268
   19     1 0.0021160594 0.0021160594        0    19267    19268
   20     2 0.0021160594 0.0021160594        0    19267    19268
   21     3 0.0021160594 0.0021160594        0    19267    19268
   22     4 0.0035269487 0.0035269487     2569    14129    19268
   23    40 0.0035269487 0.0035269487     2569    14129    19268
   24     0 0.0005290148 0.0005290148        0    19267    19268
   24     1 0.0005290148 0.0005290148        0    19267    19268
   24     2 0.0005290148 0.0005290148        0    19267    19268
   24     3 0.0005290148 0.0005290148        0    19267    19268
   24     4 0.0004657321 0.0004657321        0     2569    19268
   24     5 0.0004657321 0.0004657321        0     2569    19268
   24    10 0.0004657321 0.0004657321        0     2569    19268
   24    11 0.0004961059 0.0004961059        0     2569    19268
   24    16 0.0004657321 0.0004657321        0     2569    19268
   24    17 0.0004657321 0.0004657321        0     2569    19268
   24    25 0.0039688474 0.0039688474        0     2569    19268
   24    36 0.0005290148 0.0005290148        0    19267    19268
   24    37 0.0005290148 0.0005290148        0    19267    19268
   24    38 0.0005290148 0.0005290148        0    19267    19268
   24    39 0.0005290148 0.0005290148        0    19267    19268
   24    40 0.0004657321 0.0004657321        0     2569    19268
   24    41 0.0004657321 0.0004657321        0     2569    19268
   24    46 0.0004657321 0.0004657321        0     2569    19268
   24    47 0.0004657321 0.0004657321        0     2569    19268
   24    52 0.0004657321 0.0004657321        0     2569    19268
   24    53 0.0004657321 0.0004657321        0     2569    19268
   24    76 0.0004657321 0.0004657321        0     2569    19268
   24    77 0.0004657321 0.0004657321        0     2569    19268
   24    82 0.0004961059 0.0004961059        0     2569    19268
   24    83 0.0004657321 0.0004657321        0     2569    19268
   24    88 0.0004657321 0.0004657321        0     2569    19268
   24    89 0.0004657321 0.0004657321        0     2569    19268
   25    22 0.0004657321 0.0004657321        0     2569    19268
   25    23 0.0004657321 0.0004657321        0     2569    19268
   25    28 0.0004657321 0.0004657321        0     2569    19268
   25    29 0.0004961059 0.0004961059        0     2569    19268
   25    34 0.0004657321 0.0004657321        0     2569    19268
   25    35 0.0004657321 0.0004657321        0     2569    19268
   25    58 0.0004657321 0.0004657321        0     2569    19268
   25    59 0.0004657321 0.0004657321        0     2569    19268
   25    64 0.0004657321 0.0004657321        0     2569    19268
   25    65 0.0004657321 0.0004657321        0     2569    19268
   25    70 0.0004657321 0.0004657321        0     2569    19268
   25    71 0.0004657321 0.0004657321        0     2569    19268
   25    94 0.0004657321 0.0004657321        0     2569    19268
   25    95 0.0004657321 0.0004657321        0     2569    19268
   25   100 0.0004961059 0.0004961059        0     2569    19268
   25   101 0.0004657321 0.0004657321        0     2569    19268
   25   106 0.0004657321 0.0004657321        0     2569    19268
   25   107 0.0004657321 0.0004657321        0     2569    19268
   26     6 0.0005290148 0.0005290148        0    19267    19268
   26     7 0.0005290148 0.0005290148        0    19267    19268
   26     8 0.0005290148 0.0005290148        0    19267    19268
   26     9 0.0005290148 0.0005290148        0    19267    19268
   26    24 0.0158753894 0.0158753894        0     2569    19268
   26    27 0.0039688474 0.0039688474        0     2569    19268
   26    42 0.0005290148 0.0005290148        0    19267    19268
   26    43 0.0005290148 0.0005290148        0    19267    19268
   26    44 0.0005290148 0.0005290148        0    19267    19268
   26    45 0.0005290148 0.0005290148        0    19267    19268
   27    25 0.0158753894 0.0158753894        0     2569    19268
   28     4 0.0035269487 0.0035269487     2569    14129    19268
   29    40 0.0035269487 0.0035269487     2569    14129    19268
   30    12 0.0005290148 0.0005290148        0    19267    19268
   30    13 0.0005290148 0.0005290148        0    19267    19268
   30    14 0.0005290148 0.0005290148        0    19267    19268
   30    15 0.0005290148 0.0005290148        0    19267    19268
   30    24 0.0158753894 0.0158753894        0     2569    19268
   30    31 0.0039688474 0.0039688474        0     2569    19268
   30    48 0.0005290148 0.0005290148        0    19267    19268
   30    49 0.0005290148 0.0005290148        0    19267    19268
   30    50 0.0005290148 0.0005290148        0    19267    19268
   30    51 0.0005290148 0.0005290148        0    19267    19268
   31    25 0.0158753894 0.0158753894        0     2569    19268
   32    18 0.0005290148 0.0005290148        0    19267    19268
   32    19 0.0005290148 0.0005290148        0    19267    19268
   32    20 0.0005290148 0.0005290148        0    19267    19268
   32    21 0.0005290148 0.0005290148        0    19267    19268
   32    24 0.0158753894 0.0158753894        0     2569    19268
   32    33 0.0039688474 0.0039688474        0     2569    19268
   32    54 0.0005290148 0.0005290148        0    19267    19268
   32    55 0.0005290148 0.0005290148        0    19267    19268
   32    56 0.0005290148 0.0005290148        0    19267    19268
   32    57 0.0005290148 0.0005290148        0    19267    19268
   33    25 0.0158753894 0.0158753894        0     2569    19268
   34     4 0.0035269487 0.0035269487     2569    14129    19268
   35    40 0.0035269487 0.0035269487     2569    14129    19268
   36    73 0.0005290148 0.0005290148        0    19267    19268
   37    75 0.0005290148 0.0005290148        0    19267    19268
   38    79 0.0005290148 0.0005290148        0    19267    19268
   39    81 0.0005290148 0.0005290148        0    19267    19268
   40    84 0.0008817372 0.0008817372     2569    14129    19268
   40    85 0.0008817372 0.0008817372     2569    14129    19268
   40    86 0.0008817372 0.0008817372     2569    14129    19268
   40    87 0.0008817372 0.0008817372     2569    14129    19268
   40    90 0.0008817372 0.0008817372     2569    14129    19268
   40    91 0.0008817372 0.0008817372     2569    14129    19268
   40    92 0.0008817372 0.0008817372     2569    14129    19268
   40    93 0.0008817372 0.0008817372     2569    14129    19268
   41     4 0.0035269487 0.0035269487     2569    14129    19268
   42    36 0.0021160594 0.0021160594        0    19267    19268
   43    37 0.0021160594 0.0021160594        0    19267    19268
   44    38 0.0021160594 0.0021160594        0    19267    19268
   45    39 0.0021160594 0.0021160594        0    19267    19268
   46    40 0.0035269487 0.0035269487     2569    14129    19268
   47     4 0.0035269487 0.0035269487     2569    14129    19268
   48    36 0.0021160594 0.0021160594        0    19267    19268
   49    37 0.0021160594 0.0021160594        0    19267    19268
   50    38 0.0021160594 0.0021160594        0    19267    19268
   51    39 0.0021160594 0.0021160594        0    19267    19268
   52    40 0.0035269487 0.0035269487     2569    14129    19268
   53     4 0.0035269487 0.0035269487     2569    14129    19268
   54    36 0.0021160594 0.0021160594        0    19267    19268
   55    37 0.0021160594 0.0021160594        0    19267    19268
   56    38 0.0021160594 0.0021160594        0    19267    19268
   57    39 0.0021160594 0.0021160594        0    19267    19268
   58    40 0.0035269487 0.0035269487     2569    14129    19268
   59     4 0.0035269487 0.0035269487     2569    14129    19268
   64    40 0.0035269487 0.0035269487     2569    14129    19268
   65     4 0.0035269487 0.0035269487     2569    14129    19268
   70    40 0.0035269487 0.0035269487     2569    14129    19268
   71     4 0.0035269487 0.0035269487     2569    14129    19268
   76     4 0.0035269487 0.0035269487     2569    14129    19268
   77    40 0.0035269487 0.0035269487     2569    14129    19268
   82     4 0.0035269487 0.0035269487     2569    14129    19268
   83    40 0.0035269487 0.0035269487     2569    14129    19268
   84    72 0.0079361495 0.0079361495    14129    19267    19268
   85    73 0.0079361495 0.0079361495    14129    19267    19268
   86    74 0.0079361495 0.0079361495    14129    19267    19268
   87    75 0.0079361495 0.0079361495    14129    19267    19268
   88     4 0.0035269487 0.0035269487     2569    14129    19268
   89    40 0.0035269487 0.0035269487     2569    14129    19268
   90    78 0.0079361495 0.0079361495    14129    19267    19268
   91    79 0.0079361495 0.0079361495    14129    19267    19268
   92    80 0.0079361495 0.0079361495    14129    19267    19268
   93    81 0.0079361495 0.0079361495    14129    19267    19268
   94     4 0.0035269487 0.0035269487     2569    14129    19268
   95    40 0.0035269487 0.0035269487     2569    14129    19268
  100     4 0.0035269487 0.0035269487     2569    14129    19268
  101    40 0.0035269487 0.0035269487     2569    14129    19268
  106     4 0.0035269487 0.0035269487     2569    14129    19268
  107    40 0.0035269487 0.0035269487     2569    14129    19268
