src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,72,shortcut,add,25088,392,38534,0.0002034567,0,38535,38536
1,74,shortcut,add,25088,392,38534,0.0002034567,0,38535,38536
2,78,shortcut,add,25088,392,38534,0.0002034567,0,38535,38536
3,80,shortcut,add,25088,392,38534,0.0002034567,0,38535,38536
4,72,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,73,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,74,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,75,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,78,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,79,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,80,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
4,81,conv2,scatter,25088,392,23120,0.0003391003,5138,28259,38536
5,40,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
6,0,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
7,1,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
8,2,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
9,3,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
10,4,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
11,40,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
12,0,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
13,1,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
14,2,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
15,3,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
16,4,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
17,40,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
18,0,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
19,1,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
20,2,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
21,3,shortcut,reduce,100352,1568,38534,0.0008138268,0,38535,38536
22,4,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
23,40,conv2,reduce,100352,1568,23120,0.0013564014,5138,28259,38536
24,0,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,1,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,2,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,3,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,4,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,5,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,10,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,11,conv1,scatter,3136,49,5137,0.0001907728,0,5138,38536
24,16,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,17,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,25,conv1,scatter,25088,392,5137,0.0015261826,0,5138,38536
24,36,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,37,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,38,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,39,shortcut,scatter,25088,392,38534,0.0002034567,0,38535,38536
24,40,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,41,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,46,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,47,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,52,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,53,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,76,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,77,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,82,conv1,scatter,3136,49,5137,0.0001907728,0,5138,38536
24,83,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,88,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
24,89,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
25,22,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
25,23,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
25,28,conv1,scatter,2940,46,5137,0.0001790929,0,5138,38536
25,29,conv1,scatter,3136,49,5137,0.0001907728,0,5138,38536
