% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_dnn_traffic.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_6base/rn50_6b_ls0.028.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=3240, SIM=259200, 6.7 block passes measured)
% LOAD_SCALE=0.028  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
    0    72 0.0002848394 0.0002848394        0    38535    38536
    1    74 0.0002848394 0.0002848394        0    38535    38536
    2    78 0.0002848394 0.0002848394        0    38535    38536
    3    80 0.0002848394 0.0002848394        0    38535    38536
    4    72 0.0004747405 0.0004747405     5138    28259    38536
    4    73 0.0004747405 0.0004747405     5138    28259    38536
    4    74 0.0004747405 0.0004747405     5138    28259    38536
    4    75 0.0004747405 0.0004747405     5138    28259    38536
    4    78 0.0004747405 0.0004747405     5138    28259    38536
    4    79 0.0004747405 0.0004747405     5138    28259    38536
    4    80 0.0004747405 0.0004747405     5138    28259    38536
    4    81 0.0004747405 0.0004747405     5138    28259    38536
    5    40 0.0018989619 0.0018989619     5138    28259    38536
    6     0 0.0011393575 0.0011393575        0    38535    38536
    7     1 0.0011393575 0.0011393575        0    38535    38536
    8     2 0.0011393575 0.0011393575        0    38535    38536
    9     3 0.0011393575 0.0011393575        0    38535    38536
   10     4 0.0018989619 0.0018989619     5138    28259    38536
   11    40 0.0018989619 0.0018989619     5138    28259    38536
   12     0 0.0011393575 0.0011393575        0    38535    38536
   13     1 0.0011393575 0.0011393575        0    38535    38536
   14     2 0.0011393575 0.0011393575        0    38535    38536
   15     3 0.0011393575 0.0011393575        0    38535    38536
   16     4 0.0018989619 0.0018989619     5138    28259    38536
   17    40 0.0018989619 0.0018989619     5138    28259    38536
   18     0 0.0011393575 0.0011393575        0    38535    38536
   19     1 0.0011393575 0.0011393575        0    38535    38536
   20     2 0.0011393575 0.0011393575        0    38535    38536
   21     3 0.0011393575 0.0011393575        0    38535    38536
   22     4 0.0018989619 0.0018989619     5138    28259    38536
   23    40 0.0018989619 0.0018989619     5138    28259    38536
   24     0 0.0002848394 0.0002848394        0    38535    38536
   24     1 0.0002848394 0.0002848394        0    38535    38536
   24     2 0.0002848394 0.0002848394        0    38535    38536
   24     3 0.0002848394 0.0002848394        0    38535    38536
   24     4 0.0002507300 0.0002507300        0     5138    38536
   24     5 0.0002507300 0.0002507300        0     5138    38536
   24    10 0.0002507300 0.0002507300        0     5138    38536
   24    11 0.0002670820 0.0002670820        0     5138    38536
   24    16 0.0002507300 0.0002507300        0     5138    38536
   24    17 0.0002507300 0.0002507300        0     5138    38536
   24    25 0.0021366556 0.0021366556        0     5138    38536
   24    36 0.0002848394 0.0002848394        0    38535    38536
   24    37 0.0002848394 0.0002848394        0    38535    38536
   24    38 0.0002848394 0.0002848394        0    38535    38536
   24    39 0.0002848394 0.0002848394        0    38535    38536
   24    40 0.0002507300 0.0002507300        0     5138    38536
   24    41 0.0002507300 0.0002507300        0     5138    38536
   24    46 0.0002507300 0.0002507300        0     5138    38536
   24    47 0.0002507300 0.0002507300        0     5138    38536
   24    52 0.0002507300 0.0002507300        0     5138    38536
   24    53 0.0002507300 0.0002507300        0     5138    38536
   24    76 0.0002507300 0.0002507300        0     5138    38536
   24    77 0.0002507300 0.0002507300        0     5138    38536
   24    82 0.0002670820 0.0002670820        0     5138    38536
   24    83 0.0002507300 0.0002507300        0     5138    38536
   24    88 0.0002507300 0.0002507300        0     5138    38536
   24    89 0.0002507300 0.0002507300        0     5138    38536
   25    22 0.0002507300 0.0002507300        0     5138    38536
   25    23 0.0002507300 0.0002507300        0     5138    38536
   25    28 0.0002507300 0.0002507300        0     5138    38536
   25    29 0.0002670820 0.0002670820        0     5138    38536
   25    34 0.0002507300 0.0002507300        0     5138    38536
   25    35 0.0002507300 0.0002507300        0     5138    38536
   25    58 0.0002507300 0.0002507300        0     5138    38536
   25    59 0.0002507300 0.0002507300        0     5138    38536
   25    64 0.0002507300 0.0002507300        0     5138    38536
   25    65 0.0002507300 0.0002507300        0     5138    38536
   25    70 0.0002507300 0.0002507300        0     5138    38536
   25    71 0.0002507300 0.0002507300        0     5138    38536
   25    94 0.0002507300 0.0002507300        0     5138    38536
   25    95 0.0002507300 0.0002507300        0     5138    38536
   25   100 0.0002670820 0.0002670820        0     5138    38536
   25   101 0.0002507300 0.0002507300        0     5138    38536
   25   106 0.0002507300 0.0002507300        0     5138    38536
   25   107 0.0002507300 0.0002507300        0     5138    38536
   26     6 0.0002848394 0.0002848394        0    38535    38536
   26     7 0.0002848394 0.0002848394        0    38535    38536
   26     8 0.0002848394 0.0002848394        0    38535    38536
   26     9 0.0002848394 0.0002848394        0    38535    38536
   26    24 0.0085466225 0.0085466225        0     5138    38536
   26    27 0.0021366556 0.0021366556        0     5138    38536
   26    42 0.0002848394 0.0002848394        0    38535    38536
   26    43 0.0002848394 0.0002848394        0    38535    38536
   26    44 0.0002848394 0.0002848394        0    38535    38536
   26    45 0.0002848394 0.0002848394        0    38535    38536
   27    25 0.0085466225 0.0085466225        0     5138    38536
   28     4 0.0018989619 0.0018989619     5138    28259    38536
   29    40 0.0018989619 0.0018989619     5138    28259    38536
   30    12 0.0002848394 0.0002848394        0    38535    38536
   30    13 0.0002848394 0.0002848394        0    38535    38536
   30    14 0.0002848394 0.0002848394        0    38535    38536
   30    15 0.0002848394 0.0002848394        0    38535    38536
   30    24 0.0085466225 0.0085466225        0     5138    38536
   30    31 0.0021366556 0.0021366556        0     5138    38536
   30    48 0.0002848394 0.0002848394        0    38535    38536
   30    49 0.0002848394 0.0002848394        0    38535    38536
   30    50 0.0002848394 0.0002848394        0    38535    38536
   30    51 0.0002848394 0.0002848394        0    38535    38536
   31    25 0.0085466225 0.0085466225        0     5138    38536
   32    18 0.0002848394 0.0002848394        0    38535    38536
   32    19 0.0002848394 0.0002848394        0    38535    38536
   32    20 0.0002848394 0.0002848394        0    38535    38536
   32    21 0.0002848394 0.0002848394        0    38535    38536
   32    24 0.0085466225 0.0085466225        0     5138    38536
   32    33 0.0021366556 0.0021366556        0     5138    38536
   32    54 0.0002848394 0.0002848394        0    38535    38536
   32    55 0.0002848394 0.0002848394        0    38535    38536
   32    56 0.0002848394 0.0002848394        0    38535    38536
   32    57 0.0002848394 0.0002848394        0    38535    38536
   33    25 0.0085466225 0.0085466225        0     5138    38536
   34     4 0.0018989619 0.0018989619     5138    28259    38536
   35    40 0.0018989619 0.0018989619     5138    28259    38536
   36    73 0.0002848394 0.0002848394        0    38535    38536
   37    75 0.0002848394 0.0002848394        0    38535    38536
   38    79 0.0002848394 0.0002848394        0    38535    38536
   39    81 0.0002848394 0.0002848394        0    38535    38536
   40    84 0.0004747405 0.0004747405     5138    28259    38536
   40    85 0.0004747405 0.0004747405     5138    28259    38536
   40    86 0.0004747405 0.0004747405     5138    28259    38536
   40    87 0.0004747405 0.0004747405     5138    28259    38536
   40    90 0.0004747405 0.0004747405     5138    28259    38536
   40    91 0.0004747405 0.0004747405     5138    28259    38536
   40    92 0.0004747405 0.0004747405     5138    28259    38536
   40    93 0.0004747405 0.0004747405     5138    28259    38536
   41     4 0.0018989619 0.0018989619     5138    28259    38536
   42    36 0.0011393575 0.0011393575        0    38535    38536
   43    37 0.0011393575 0.0011393575        0    38535    38536
   44    38 0.0011393575 0.0011393575        0    38535    38536
   45    39 0.0011393575 0.0011393575        0    38535    38536
   46    40 0.0018989619 0.0018989619     5138    28259    38536
   47     4 0.0018989619 0.0018989619     5138    28259    38536
   48    36 0.0011393575 0.0011393575        0    38535    38536
   49    37 0.0011393575 0.0011393575        0    38535    38536
   50    38 0.0011393575 0.0011393575        0    38535    38536
   51    39 0.0011393575 0.0011393575        0    38535    38536
   52    40 0.0018989619 0.0018989619     5138    28259    38536
   53     4 0.0018989619 0.0018989619     5138    28259    38536
   54    36 0.0011393575 0.0011393575        0    38535    38536
   55    37 0.0011393575 0.0011393575        0    38535    38536
   56    38 0.0011393575 0.0011393575        0    38535    38536
   57    39 0.0011393575 0.0011393575        0    38535    38536
   58    40 0.0018989619 0.0018989619     5138    28259    38536
   59     4 0.0018989619 0.0018989619     5138    28259    38536
   64    40 0.0018989619 0.0018989619     5138    28259    38536
   65     4 0.0018989619 0.0018989619     5138    28259    38536
   70    40 0.0018989619 0.0018989619     5138    28259    38536
   71     4 0.0018989619 0.0018989619     5138    28259    38536
   76     4 0.0018989619 0.0018989619     5138    28259    38536
   77    40 0.0018989619 0.0018989619     5138    28259    38536
   82     4 0.0018989619 0.0018989619     5138    28259    38536
   83    40 0.0018989619 0.0018989619     5138    28259    38536
   84    72 0.0042728954 0.0042728954    28259    38535    38536
   85    73 0.0042728954 0.0042728954    28259    38535    38536
   86    74 0.0042728954 0.0042728954    28259    38535    38536
   87    75 0.0042728954 0.0042728954    28259    38535    38536
   88     4 0.0018989619 0.0018989619     5138    28259    38536
   89    40 0.0018989619 0.0018989619     5138    28259    38536
   90    78 0.0042728954 0.0042728954    28259    38535    38536
   91    79 0.0042728954 0.0042728954    28259    38535    38536
   92    80 0.0042728954 0.0042728954    28259    38535    38536
   93    81 0.0042728954 0.0042728954    28259    38535    38536
   94     4 0.0018989619 0.0018989619     5138    28259    38536
   95    40 0.0018989619 0.0018989619     5138    28259    38536
  100     4 0.0018989619 0.0018989619     5138    28259    38536
  101    40 0.0018989619 0.0018989619     5138    28259    38536
  106     4 0.0018989619 0.0018989619     5138    28259    38536
  107    40 0.0018989619 0.0018989619     5138    28259    38536
