% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_dnn_traffic.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_6base/resnet50_bottleneck3_xb128_6x6x3_base.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=3240, SIM=259200, 6.7 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
    0    72 0.0002644937 0.0002644937        0    38535    38536
    1    74 0.0002644937 0.0002644937        0    38535    38536
    2    78 0.0002644937 0.0002644937        0    38535    38536
    3    80 0.0002644937 0.0002644937        0    38535    38536
   52    72 0.0004408304 0.0004408304     5138    28259    38536
   52    73 0.0004408304 0.0004408304     5138    28259    38536
   52    74 0.0004408304 0.0004408304     5138    28259    38536
   52    75 0.0004408304 0.0004408304     5138    28259    38536
   52    78 0.0004408304 0.0004408304     5138    28259    38536
   52    79 0.0004408304 0.0004408304     5138    28259    38536
   52    80 0.0004408304 0.0004408304     5138    28259    38536
   52    81 0.0004408304 0.0004408304     5138    28259    38536
    5    58 0.0017633218 0.0017633218     5138    28259    38536
    6     0 0.0010579748 0.0010579748        0    38535    38536
    7     1 0.0010579748 0.0010579748        0    38535    38536
    8     2 0.0010579748 0.0010579748        0    38535    38536
    9     3 0.0010579748 0.0010579748        0    38535    38536
   10    52 0.0017633218 0.0017633218     5138    28259    38536
   11    58 0.0017633218 0.0017633218     5138    28259    38536
   12     0 0.0010579748 0.0010579748        0    38535    38536
   13     1 0.0010579748 0.0010579748        0    38535    38536
   14     2 0.0010579748 0.0010579748        0    38535    38536
   15     3 0.0010579748 0.0010579748        0    38535    38536
   16    52 0.0017633218 0.0017633218     5138    28259    38536
   17    58 0.0017633218 0.0017633218     5138    28259    38536
   18     0 0.0010579748 0.0010579748        0    38535    38536
   19     1 0.0010579748 0.0010579748        0    38535    38536
   20     2 0.0010579748 0.0010579748        0    38535    38536
   21     3 0.0010579748 0.0010579748        0    38535    38536
   22    52 0.0017633218 0.0017633218     5138    28259    38536
   23    58 0.0017633218 0.0017633218     5138    28259    38536
   24     0 0.0002644937 0.0002644937        0    38535    38536
   24     1 0.0002644937 0.0002644937        0    38535    38536
   24     2 0.0002644937 0.0002644937        0    38535    38536
   24     3 0.0002644937 0.0002644937        0    38535    38536
   24    52 0.0002328207 0.0002328207        0     5138    38536
   24     5 0.0002328207 0.0002328207        0     5138    38536
   24    10 0.0002328207 0.0002328207        0     5138    38536
   24    11 0.0002480047 0.0002480047        0     5138    38536
   24    16 0.0002328207 0.0002328207        0     5138    38536
   24    17 0.0002328207 0.0002328207        0     5138    38536
   24    25 0.0019840374 0.0019840374        0     5138    38536
   24    36 0.0002644937 0.0002644937        0    38535    38536
   24    37 0.0002644937 0.0002644937        0    38535    38536
   24    38 0.0002644937 0.0002644937        0    38535    38536
   24    39 0.0002644937 0.0002644937        0    38535    38536
   24    58 0.0002328207 0.0002328207        0     5138    38536
   24    41 0.0002328207 0.0002328207        0     5138    38536
   24    46 0.0002328207 0.0002328207        0     5138    38536
   24    47 0.0002328207 0.0002328207        0     5138    38536
   24     4 0.0002328207 0.0002328207        0     5138    38536
   24    53 0.0002328207 0.0002328207        0     5138    38536
   24    76 0.0002328207 0.0002328207        0     5138    38536
   24    77 0.0002328207 0.0002328207        0     5138    38536
   24    82 0.0002480047 0.0002480047        0     5138    38536
   24    83 0.0002328207 0.0002328207        0     5138    38536
   24    88 0.0002328207 0.0002328207        0     5138    38536
   24    89 0.0002328207 0.0002328207        0     5138    38536
   25    22 0.0002328207 0.0002328207        0     5138    38536
   25    23 0.0002328207 0.0002328207        0     5138    38536
   25    28 0.0002328207 0.0002328207        0     5138    38536
   25    29 0.0002480047 0.0002480047        0     5138    38536
   25    34 0.0002328207 0.0002328207        0     5138    38536
   25    35 0.0002328207 0.0002328207        0     5138    38536
   25    40 0.0002328207 0.0002328207        0     5138    38536
   25    59 0.0002328207 0.0002328207        0     5138    38536
   25    64 0.0002328207 0.0002328207        0     5138    38536
   25    65 0.0002328207 0.0002328207        0     5138    38536
   25    70 0.0002328207 0.0002328207        0     5138    38536
   25    71 0.0002328207 0.0002328207        0     5138    38536
   25    94 0.0002328207 0.0002328207        0     5138    38536
   25    95 0.0002328207 0.0002328207        0     5138    38536
   25   100 0.0002480047 0.0002480047        0     5138    38536
   25   101 0.0002328207 0.0002328207        0     5138    38536
   25   106 0.0002328207 0.0002328207        0     5138    38536
   25   107 0.0002328207 0.0002328207        0     5138    38536
   26     6 0.0002644937 0.0002644937        0    38535    38536
   26     7 0.0002644937 0.0002644937        0    38535    38536
   26     8 0.0002644937 0.0002644937        0    38535    38536
   26     9 0.0002644937 0.0002644937        0    38535    38536
   26    24 0.0079361495 0.0079361495        0     5138    38536
   26    27 0.0019840374 0.0019840374        0     5138    38536
   26    42 0.0002644937 0.0002644937        0    38535    38536
   26    43 0.0002644937 0.0002644937        0    38535    38536
   26    44 0.0002644937 0.0002644937        0    38535    38536
   26    45 0.0002644937 0.0002644937        0    38535    38536
   27    25 0.0079361495 0.0079361495        0     5138    38536
   28    52 0.0017633218 0.0017633218     5138    28259    38536
   29    58 0.0017633218 0.0017633218     5138    28259    38536
   30    12 0.0002644937 0.0002644937        0    38535    38536
   30    13 0.0002644937 0.0002644937        0    38535    38536
   30    14 0.0002644937 0.0002644937        0    38535    38536
   30    15 0.0002644937 0.0002644937        0    38535    38536
   30    24 0.0079361495 0.0079361495        0     5138    38536
   30    31 0.0019840374 0.0019840374        0     5138    38536
   30    48 0.0002644937 0.0002644937        0    38535    38536
   30    49 0.0002644937 0.0002644937        0    38535    38536
   30    50 0.0002644937 0.0002644937        0    38535    38536
   30    51 0.0002644937 0.0002644937        0    38535    38536
   31    25 0.0079361495 0.0079361495        0     5138    38536
   32    18 0.0002644937 0.0002644937        0    38535    38536
   32    19 0.0002644937 0.0002644937        0    38535    38536
   32    20 0.0002644937 0.0002644937        0    38535    38536
   32    21 0.0002644937 0.0002644937        0    38535    38536
