src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,3,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,6,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,9,attn_res,add,50432,788,11617,0.0033915813,0,11618,58097
0,36,q,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,39,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,42,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,72,q,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,75,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
0,78,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,0,q,reduce,201728,3152,5808,0.0271349862,0,5809,58097
1,4,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,7,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,37,q,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,40,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,43,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,45,attn_res,add,50432,788,11617,0.0033915813,0,11618,58097
1,73,q,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,76,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
1,79,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,0,q,reduce,201728,3152,5808,0.0271349862,0,5809,58097
2,5,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,8,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,38,q,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,41,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,44,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,74,q,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,77,k,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,80,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
2,81,attn_res,add,50432,788,11617,0.0033915813,0,11618,58097
4,3,k,reduce,201728,3152,5808,0.0271349862,0,5809,58097
5,3,k,reduce,201728,3152,5808,0.0271349862,0,5809,58097
6,9,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
6,45,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
6,81,v,scatter,50432,788,5808,0.0067837466,0,5809,58097
7,6,v,reduce,201728,3152,5808,0.0271349862,0,5809,58097
8,6,v,reduce,201728,3152,5808,0.0271349862,0,5809,58097
9,12,o,scatter,50432,788,5808,0.0067837466,5809,11618,58097
9,13,o,scatter,50432,788,5808,0.0067837466,5809,11618,58097
