node,x,y,z,layer,r,c,role
0,0,0,0,q,0,0,accumulator
1,1,0,0,q,1,0,tile
2,2,0,0,q,2,0,tile
3,3,0,0,k,0,0,accumulator
4,4,0,0,k,1,0,tile
5,5,0,0,k,2,0,tile
6,0,1,0,v,0,0,accumulator
7,1,1,0,v,1,0,tile
8,2,1,0,v,2,0,tile
9,3,1,0,o,0,0,accumulator
10,4,1,0,o,1,0,tile
11,5,1,0,o,2,0,tile
12,0,2,0,ff1,0,0,accumulator
13,1,2,0,ff1,0,3,accumulator
14,2,2,0,ff1,0,6,accumulator
15,3,2,0,ff1,0,9,accumulator
16,4,2,0,ff1,1,0,tile
17,5,2,0,ff1,1,3,tile
18,0,3,0,ff1,1,6,tile
19,1,3,0,ff1,1,9,tile
20,2,3,0,ff1,2,0,tile
21,3,3,0,ff1,2,3,tile
22,4,3,0,ff1,2,6,tile
23,5,3,0,ff1,2,9,tile
24,0,4,0,ff2,0,0,accumulator
25,1,4,0,ff2,1,0,tile
26,2,4,0,ff2,2,0,tile
27,3,4,0,ff2,3,0,tile
28,4,4,0,ff2,4,0,tile
29,5,4,0,ff2,5,0,tile
30,0,5,0,ff2,6,0,tile
31,1,5,0,ff2,7,0,tile
32,2,5,0,ff2,8,0,tile
33,3,5,0,ff2,9,0,tile
34,4,5,0,ff2,10,0,tile
35,5,5,0,ff2,11,0,tile
36,0,0,1,q,0,1,accumulator
37,1,0,1,q,1,1,tile
38,2,0,1,q,2,1,tile
39,3,0,1,k,0,1,accumulator
40,4,0,1,k,1,1,tile
41,5,0,1,k,2,1,tile
42,0,1,1,v,0,1,accumulator
43,1,1,1,v,1,1,tile
44,2,1,1,v,2,1,tile
45,3,1,1,o,0,1,accumulator
46,4,1,1,o,1,1,tile
47,5,1,1,o,2,1,tile
48,0,2,1,ff1,0,1,accumulator
49,1,2,1,ff1,0,4,accumulator
50,2,2,1,ff1,0,7,accumulator
51,3,2,1,ff1,0,10,accumulator
52,4,2,1,ff1,1,1,tile
53,5,2,1,ff1,1,4,tile
54,0,3,1,ff1,1,7,tile
55,1,3,1,ff1,1,10,tile
56,2,3,1,ff1,2,1,tile
57,3,3,1,ff1,2,4,tile
58,4,3,1,ff1,2,7,tile
59,5,3,1,ff1,2,10,tile
60,0,4,1,ff2,0,1,accumulator
61,1,4,1,ff2,1,1,tile
62,2,4,1,ff2,2,1,tile
63,3,4,1,ff2,3,1,tile
64,4,4,1,ff2,4,1,tile
65,5,4,1,ff2,5,1,tile
66,0,5,1,ff2,6,1,tile
67,1,5,1,ff2,7,1,tile
68,2,5,1,ff2,8,1,tile
69,3,5,1,ff2,9,1,tile
70,4,5,1,ff2,10,1,tile
71,5,5,1,ff2,11,1,tile
72,0,0,2,q,0,2,accumulator
73,1,0,2,q,1,2,tile
74,2,0,2,q,2,2,tile
75,3,0,2,k,0,2,accumulator
76,4,0,2,k,1,2,tile
77,5,0,2,k,2,2,tile
78,0,1,2,v,0,2,accumulator
79,1,1,2,v,1,2,tile
80,2,1,2,v,2,2,tile
81,3,1,2,o,0,2,accumulator
82,4,1,2,o,1,2,tile
83,5,1,2,o,2,2,tile
84,0,2,2,ff1,0,2,accumulator
85,1,2,2,ff1,0,5,accumulator
86,2,2,2,ff1,0,8,accumulator
87,3,2,2,ff1,0,11,accumulator
88,4,2,2,ff1,1,2,tile
89,5,2,2,ff1,1,5,tile
90,0,3,2,ff1,1,8,tile
91,1,3,2,ff1,1,11,tile
92,2,3,2,ff1,2,2,tile
93,3,3,2,ff1,2,5,tile
94,4,3,2,ff1,2,8,tile
95,5,3,2,ff1,2,11,tile
96,0,4,2,ff2,0,2,accumulator
97,1,4,2,ff2,1,2,tile
98,2,4,2,ff2,2,2,tile
99,3,4,2,ff2,3,2,tile
100,4,4,2,ff2,4,2,tile
101,5,4,2,ff2,5,2,tile
102,0,5,2,ff2,6,2,tile
103,1,5,2,ff2,7,2,tile
104,2,5,2,ff2,8,2,tile
105,3,5,2,ff2,9,2,tile
106,4,5,2,ff2,10,2,tile
107,5,5,2,ff2,11,2,tile
