src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,12,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,13,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,14,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,15,conv6,scatter,50176,784,46241,0.0008477325,23121,69363,115606
0,16,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,17,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,48,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,49,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,50,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,51,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,52,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,53,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,84,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,85,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,86,conv6,scatter,50176,784,46241,0.0008477325,23121,69363,115606
0,87,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,88,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
0,89,conv6,scatter,47040,735,46241,0.0007947492,23121,69363,115606
1,36,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
2,0,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
3,36,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
4,0,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
5,36,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
6,0,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
7,36,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
8,0,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
9,36,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
10,0,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
11,36,conv6,reduce,802816,12544,46241,0.0135637205,23121,69363,115606
13,48,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
14,12,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
15,48,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
16,12,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
17,48,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
18,12,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
19,48,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
20,12,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
21,48,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
22,12,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
23,48,conv7,reduce,802816,12544,46241,0.0135637205,69363,115605,115606
24,0,conv5,scatter,47040,735,23120,0.0015895329,0,23121,115606
24,1,conv5,scatter,47040,735,23120,0.0015895329,0,23121,115606
24,2,conv5,scatter,47040,735,23120,0.0015895329,0,23121,115606
