workload,c,r,s,tiles,nodes_idle,scatter,reduce,add,total_bytes,mib,flows,t_period,worst_stacked_pir,sim_ready,errors,warnings,note,stem
ResNet-50 stage-3 bottleneck,8,1,8,92,16,1411200,7225344,200704,8837248,8.428,168,38536,0.012,yes,,16 nodes unused,current,resnet50_bottleneck3_xb128_6x6x3_c8r1s8
ResNet-50 stage-3 bottleneck,8,2,4,92,16,2916480,2609152,200704,5726336,5.461,218,38536,0.0245,yes,,16 nodes unused,min@c=8,resnet50_bottleneck3_xb128_6x6x3_c8r2s4
ResNet-50 stage-3 bottleneck,16,1,16,46,62,655424,7225344,200704,8081472,7.707,82,38536,0.0169,yes,,62 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c16r1s16
ResNet-50 stage-3 bottleneck,16,2,8,46,62,1408064,2609152,200704,4217920,4.023,88,38536,0.0161,yes,,62 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c16r2s8
ResNet-50 stage-3 bottleneck,16,4,4,56,52,2913344,802816,200704,3916864,3.735,147,38536,0.0448,yes,,52 nodes unused,min@c=16,resnet50_bottleneck3_xb128_6x6x3_c16r4s4
ResNet-50 stage-3 bottleneck,16,8,2,96,12,5923904,401408,200704,6526016,6.224,423,38536,0.0934,yes,,12 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c16r8s2
ResNet-50 stage-3 bottleneck,32,1,32,34,74,354368,7225344,200704,7780416,7.42,60,38536,0.0164,yes,,74 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c32r1s32
ResNet-50 stage-3 bottleneck,32,2,16,23,85,653856,2609152,200704,3463712,3.303,38,38536,0.018,yes,,85 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c32r2s16
ResNet-50 stage-3 bottleneck,32,4,8,28,80,1406496,802816,200704,2410016,2.298,53,38536,0.0204,yes,,80 nodes unused,GLOBAL MIN,resnet50_bottleneck3_xb128_6x6x3_c32r4s8
ResNet-50 stage-3 bottleneck,32,8,4,48,60,2911776,401408,200704,3513888,3.351,131,38536,0.0447,yes,,60 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c32r8s4
ResNet-50 stage-3 bottleneck,32,16,2,88,20,5920768,200704,200704,6322176,6.029,399,38536,0.0934,yes,,20 nodes unused,,resnet50_bottleneck3_xb128_6x6x3_c32r16s2
VGG-16 block 3,8,1,8,90,18,3938816,134873088,0,138811904,132.381,196,115606,0.0564,yes,,18 nodes unused,current,vgg16_block3_xb128_6x6x3_c8r1s8
