src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,1,conv1,scatter,100352,1568,5137,0.0079361495,0,5138,38536
0,2,conv1,scatter,100352,1568,5137,0.0079361495,0,5138,38536
0,3,conv1,scatter,100352,1568,5137,0.0079361495,0,5138,38536
0,4,conv1,scatter,12544,196,5137,0.0009920187,0,5138,38536
0,5,conv1,scatter,12544,196,5137,0.0009920187,0,5138,38536
0,6,conv1,scatter,12544,196,5137,0.0009920187,0,5138,38536
0,7,conv1,scatter,12544,196,5137,0.0009920187,0,5138,38536
0,32,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,33,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,34,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,35,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,36,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,37,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,38,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,39,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,40,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,41,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,42,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,43,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,44,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,45,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,46,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
0,47,shortcut,scatter,100352,1568,38534,0.0010579748,0,38535,38536
1,4,conv1,scatter,4312,68,5137,0.0003441697,0,5138,38536
1,5,conv1,scatter,4312,68,5137,0.0003441697,0,5138,38536
1,6,conv1,scatter,4312,68,5137,0.0003441697,0,5138,38536
1,7,conv1,scatter,4312,68,5137,0.0003441697,0,5138,38536
1,8,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
1,9,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
1,10,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
1,11,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
2,8,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
2,9,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
2,10,conv1,scatter,8428,132,5137,0.0006680942,0,5138,38536
