% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_core.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_packing/resnet50_bottleneck3_xb128_6x6x3_c8r2s4.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=648, SIM=51840, 1.3 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
    0     1 0.0039680748 0.0039680748        0     5138    38536
    0     2 0.0039680748 0.0039680748        0     5138    38536
    0     3 0.0039680748 0.0039680748        0     5138    38536
    0     8 0.0004504575 0.0004504575        0     5138    38536
    0     9 0.0004504575 0.0004504575        0     5138    38536
    0    10 0.0004504575 0.0004504575        0     5138    38536
    0    11 0.0004504575 0.0004504575        0     5138    38536
    0    12 0.0004504575 0.0004504575        0     5138    38536
    0    13 0.0004504575 0.0004504575        0     5138    38536
    0    14 0.0004504575 0.0004504575        0     5138    38536
    0    15 0.0004504575 0.0004504575        0     5138    38536
    0    16 0.0001265330 0.0001265330        0     5138    38536
    0    17 0.0001265330 0.0001265330        0     5138    38536
    0    18 0.0001265330 0.0001265330        0     5138    38536
    0    19 0.0001265330 0.0001265330        0     5138    38536
    0    60 0.0005289874 0.0005289874        0    38535    38536
    0    61 0.0005289874 0.0005289874        0    38535    38536
    0    62 0.0005289874 0.0005289874        0    38535    38536
    0    63 0.0005289874 0.0005289874        0    38535    38536
    0    64 0.0005289874 0.0005289874        0    38535    38536
    0    65 0.0005289874 0.0005289874        0    38535    38536
    0    66 0.0005289874 0.0005289874        0    38535    38536
    0    67 0.0005289874 0.0005289874        0    38535    38536
    0    68 0.0005289874 0.0005289874        0    38535    38536
    0    69 0.0005289874 0.0005289874        0    38535    38536
    0    70 0.0005289874 0.0005289874        0    38535    38536
    0    71 0.0005289874 0.0005289874        0    38535    38536
    0    72 0.0005289874 0.0005289874        0    38535    38536
    0    73 0.0005289874 0.0005289874        0    38535    38536
    0    74 0.0005289874 0.0005289874        0    38535    38536
    0    75 0.0005289874 0.0005289874        0    38535    38536
    1    16 0.0003441697 0.0003441697        0     5138    38536
    1    17 0.0003441697 0.0003441697        0     5138    38536
    1    18 0.0003441697 0.0003441697        0     5138    38536
    1    19 0.0003441697 0.0003441697        0     5138    38536
    1    20 0.0004504575 0.0004504575        0     5138    38536
    1    21 0.0004504575 0.0004504575        0     5138    38536
    1    22 0.0004504575 0.0004504575        0     5138    38536
    1    23 0.0004504575 0.0004504575        0     5138    38536
    1    24 0.0002328207 0.0002328207        0     5138    38536
    1    25 0.0002328207 0.0002328207        0     5138    38536
    1    26 0.0002328207 0.0002328207        0     5138    38536
    1    27 0.0002328207 0.0002328207        0     5138    38536
    2    24 0.0002328207 0.0002328207        0     5138    38536
    2    25 0.0002328207 0.0002328207        0     5138    38536
    2    26 0.0002328207 0.0002328207        0     5138    38536
    2    27 0.0002328207 0.0002328207        0     5138    38536
    2    28 0.0004504575 0.0004504575        0     5138    38536
    2    29 0.0004504575 0.0004504575        0     5138    38536
    2    30 0.0004504575 0.0004504575        0     5138    38536
    2    31 0.0004504575 0.0004504575        0     5138    38536
    2    32 0.0003441697 0.0003441697        0     5138    38536
    2    33 0.0003441697 0.0003441697        0     5138    38536
    2    34 0.0003441697 0.0003441697        0     5138    38536
    2    35 0.0003441697 0.0003441697        0     5138    38536
    3    32 0.0001265330 0.0001265330        0     5138    38536
    3    33 0.0001265330 0.0001265330        0     5138    38536
    3    34 0.0001265330 0.0001265330        0     5138    38536
    3    35 0.0001265330 0.0001265330        0     5138    38536
    3    36 0.0004504575 0.0004504575        0     5138    38536
    3    37 0.0004504575 0.0004504575        0     5138    38536
    3    38 0.0004504575 0.0004504575        0     5138    38536
    3    39 0.0004504575 0.0004504575        0     5138    38536
    3    40 0.0004504575 0.0004504575        0     5138    38536
    3    41 0.0004504575 0.0004504575        0     5138    38536
    3    42 0.0004504575 0.0004504575        0     5138    38536
    3    43 0.0004504575 0.0004504575        0     5138    38536
    4     0 0.0039680748 0.0039680748        0     5138    38536
    4     5 0.0039680748 0.0039680748        0     5138    38536
    4     6 0.0039680748 0.0039680748        0     5138    38536
    4     7 0.0039680748 0.0039680748        0     5138    38536
    4    76 0.0005289874 0.0005289874        0    38535    38536
    4    77 0.0005289874 0.0005289874        0    38535    38536
    4    78 0.0005289874 0.0005289874        0    38535    38536
    4    79 0.0005289874 0.0005289874        0    38535    38536
    4    80 0.0005289874 0.0005289874        0    38535    38536
    4    81 0.0005289874 0.0005289874        0    38535    38536
    4    82 0.0005289874 0.0005289874        0    38535    38536
    4    83 0.0005289874 0.0005289874        0    38535    38536
    4    84 0.0005289874 0.0005289874        0    38535    38536
    4    85 0.0005289874 0.0005289874        0    38535    38536
    4    86 0.0005289874 0.0005289874        0    38535    38536
    4    87 0.0005289874 0.0005289874        0    38535    38536
    4    88 0.0005289874 0.0005289874        0    38535    38536
    4    89 0.0005289874 0.0005289874        0    38535    38536
    4    90 0.0005289874 0.0005289874        0    38535    38536
    4    91 0.0005289874 0.0005289874        0    38535    38536
    5     1 0.0039680748 0.0039680748        0     5138    38536
    6     2 0.0039680748 0.0039680748        0     5138    38536
    7     3 0.0039680748 0.0039680748        0     5138    38536
    8    44 0.0002204152 0.0002204152     5138    28259    38536
    8    45 0.0002204152 0.0002204152     5138    28259    38536
    8    46 0.0002204152 0.0002204152     5138    28259    38536
    8    47 0.0002204152 0.0002204152     5138    28259    38536
    8    48 0.0002204152 0.0002204152     5138    28259    38536
    8    49 0.0002204152 0.0002204152     5138    28259    38536
    8    50 0.0002204152 0.0002204152     5138    28259    38536
    8    51 0.0002204152 0.0002204152     5138    28259    38536
    8    52 0.0002204152 0.0002204152     5138    28259    38536
    8    53 0.0002204152 0.0002204152     5138    28259    38536
    8    54 0.0002204152 0.0002204152     5138    28259    38536
    8    55 0.0002204152 0.0002204152     5138    28259    38536
    8    56 0.0002204152 0.0002204152     5138    28259    38536
    8    57 0.0002204152 0.0002204152     5138    28259    38536
    8    58 0.0002204152 0.0002204152     5138    28259    38536
    8    59 0.0002204152 0.0002204152     5138    28259    38536
    9    44 0.0002204152 0.0002204152     5138    28259    38536
    9    45 0.0002204152 0.0002204152     5138    28259    38536
    9    46 0.0002204152 0.0002204152     5138    28259    38536
    9    47 0.0002204152 0.0002204152     5138    28259    38536
    9    48 0.0002204152 0.0002204152     5138    28259    38536
    9    49 0.0002204152 0.0002204152     5138    28259    38536
    9    50 0.0002204152 0.0002204152     5138    28259    38536
    9    51 0.0002204152 0.0002204152     5138    28259    38536
    9    52 0.0002204152 0.0002204152     5138    28259    38536
    9    53 0.0002204152 0.0002204152     5138    28259    38536
    9    54 0.0002204152 0.0002204152     5138    28259    38536
    9    55 0.0002204152 0.0002204152     5138    28259    38536
    9    56 0.0002204152 0.0002204152     5138    28259    38536
    9    57 0.0002204152 0.0002204152     5138    28259    38536
    9    58 0.0002204152 0.0002204152     5138    28259    38536
    9    59 0.0002204152 0.0002204152     5138    28259    38536
   10    44 0.0002204152 0.0002204152     5138    28259    38536
   10    45 0.0002204152 0.0002204152     5138    28259    38536
   10    46 0.0002204152 0.0002204152     5138    28259    38536
   10    47 0.0002204152 0.0002204152     5138    28259    38536
   10    48 0.0002204152 0.0002204152     5138    28259    38536
   10    49 0.0002204152 0.0002204152     5138    28259    38536
   10    50 0.0002204152 0.0002204152     5138    28259    38536
   10    51 0.0002204152 0.0002204152     5138    28259    38536
   10    52 0.0002204152 0.0002204152     5138    28259    38536
   10    53 0.0002204152 0.0002204152     5138    28259    38536
   10    54 0.0002204152 0.0002204152     5138    28259    38536
   10    55 0.0002204152 0.0002204152     5138    28259    38536
   10    56 0.0002204152 0.0002204152     5138    28259    38536
   10    57 0.0002204152 0.0002204152     5138    28259    38536
   10    58 0.0002204152 0.0002204152     5138    28259    38536
   10    59 0.0002204152 0.0002204152     5138    28259    38536
   11    44 0.0002204152 0.0002204152     5138    28259    38536
   11    45 0.0002204152 0.0002204152     5138    28259    38536
   11    46 0.0002204152 0.0002204152     5138    28259    38536
   11    47 0.0002204152 0.0002204152     5138    28259    38536
   11    48 0.0002204152 0.0002204152     5138    28259    38536
   11    49 0.0002204152 0.0002204152     5138    28259    38536
   11    50 0.0002204152 0.0002204152     5138    28259    38536
   11    51 0.0002204152 0.0002204152     5138    28259    38536
   11    52 0.0002204152 0.0002204152     5138    28259    38536
   11    53 0.0002204152 0.0002204152     5138    28259    38536
   11    54 0.0002204152 0.0002204152     5138    28259    38536
   11    55 0.0002204152 0.0002204152     5138    28259    38536
   11    56 0.0002204152 0.0002204152     5138    28259    38536
   11    57 0.0002204152 0.0002204152     5138    28259    38536
   11    58 0.0002204152 0.0002204152     5138    28259    38536
   11    59 0.0002204152 0.0002204152     5138    28259    38536
