src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,1,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,2,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,3,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,4,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,5,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,6,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,7,conv5,scatter,200704,3136,23120,0.0067820069,0,23121,115606
0,16,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,17,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,18,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,19,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,20,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,21,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,22,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
0,23,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,16,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,17,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,18,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,19,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,20,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,21,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,22,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
1,23,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
2,16,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,17,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,18,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,19,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,20,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,21,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,22,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,23,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
2,24,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,25,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,26,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,27,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,28,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,29,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,30,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
2,31,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
3,24,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,25,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,26,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,27,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,28,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,29,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,30,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
3,31,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,24,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,25,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,26,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,27,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,28,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,29,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,30,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
4,31,conv5,scatter,100352,1568,23120,0.0033910035,0,23121,115606
5,24,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,25,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,26,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,27,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,28,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,29,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,30,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,31,conv5,scatter,34496,539,23120,0.0011656574,0,23121,115606
5,32,conv5,scatter,68992,1078,23120,0.0023313149,0,23121,115606
