node,x,y,z,layer,r,c,role
0,0,0,0,conv5,0,0,accumulator
1,1,0,0,conv5,0,1,accumulator
2,2,0,0,conv5,0,2,accumulator
3,3,0,0,conv5,0,3,accumulator
4,4,0,0,conv5,1,0,tile
5,5,0,0,conv5,1,1,tile
6,0,1,0,conv5,1,2,tile
7,1,1,0,conv5,1,3,tile
8,2,1,0,conv6,0,0,accumulator
9,3,1,0,conv6,0,1,accumulator
10,4,1,0,conv6,0,2,accumulator
11,5,1,0,conv6,0,3,accumulator
12,0,2,0,conv6,1,0,tile
13,1,2,0,conv6,1,1,tile
14,2,2,0,conv6,1,2,tile
15,3,2,0,conv6,1,3,tile
16,4,2,0,conv6,2,0,tile
17,5,2,0,conv6,2,1,tile
18,0,3,0,conv6,2,2,tile
19,1,3,0,conv6,2,3,tile
20,2,3,0,conv7,0,0,accumulator
21,3,3,0,conv7,0,1,accumulator
22,4,3,0,conv7,0,2,accumulator
23,5,3,0,conv7,0,3,accumulator
24,0,4,0,conv7,1,0,tile
25,1,4,0,conv7,1,1,tile
26,2,4,0,conv7,1,2,tile
27,3,4,0,conv7,1,3,tile
28,4,4,0,conv7,2,0,tile
29,5,4,0,conv7,2,1,tile
30,0,5,0,conv7,2,2,tile
31,1,5,0,conv7,2,3,tile
32,2,5,0,-,,,idle
33,3,5,0,-,,,idle
34,4,5,0,-,,,idle
35,5,5,0,-,,,idle
36,0,0,1,-,,,idle
37,1,0,1,-,,,idle
38,2,0,1,-,,,idle
39,3,0,1,-,,,idle
40,4,0,1,-,,,idle
41,5,0,1,-,,,idle
42,0,1,1,-,,,idle
43,1,1,1,-,,,idle
44,2,1,1,-,,,idle
45,3,1,1,-,,,idle
46,4,1,1,-,,,idle
47,5,1,1,-,,,idle
48,0,2,1,-,,,idle
49,1,2,1,-,,,idle
50,2,2,1,-,,,idle
51,3,2,1,-,,,idle
52,4,2,1,-,,,idle
53,5,2,1,-,,,idle
54,0,3,1,-,,,idle
55,1,3,1,-,,,idle
56,2,3,1,-,,,idle
57,3,3,1,-,,,idle
58,4,3,1,-,,,idle
59,5,3,1,-,,,idle
60,0,4,1,-,,,idle
61,1,4,1,-,,,idle
62,2,4,1,-,,,idle
63,3,4,1,-,,,idle
64,4,4,1,-,,,idle
65,5,4,1,-,,,idle
66,0,5,1,-,,,idle
67,1,5,1,-,,,idle
68,2,5,1,-,,,idle
69,3,5,1,-,,,idle
70,4,5,1,-,,,idle
71,5,5,1,-,,,idle
72,0,0,2,-,,,idle
73,1,0,2,-,,,idle
74,2,0,2,-,,,idle
75,3,0,2,-,,,idle
76,4,0,2,-,,,idle
77,5,0,2,-,,,idle
78,0,1,2,-,,,idle
79,1,1,2,-,,,idle
80,2,1,2,-,,,idle
81,3,1,2,-,,,idle
82,4,1,2,-,,,idle
83,5,1,2,-,,,idle
84,0,2,2,-,,,idle
85,1,2,2,-,,,idle
86,2,2,2,-,,,idle
87,3,2,2,-,,,idle
88,4,2,2,-,,,idle
89,5,2,2,-,,,idle
90,0,3,2,-,,,idle
91,1,3,2,-,,,idle
92,2,3,2,-,,,idle
93,3,3,2,-,,,idle
94,4,3,2,-,,,idle
95,5,3,2,-,,,idle
96,0,4,2,-,,,idle
97,1,4,2,-,,,idle
98,2,4,2,-,,,idle
99,3,4,2,-,,,idle
100,4,4,2,-,,,idle
101,5,4,2,-,,,idle
102,0,5,2,-,,,idle
103,1,5,2,-,,,idle
104,2,5,2,-,,,idle
105,3,5,2,-,,,idle
106,4,5,2,-,,,idle
107,5,5,2,-,,,idle
