src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,1,q,scatter,37824,591,5808,0.0050878099,0,5809,58097
0,4,k,scatter,37824,591,5808,0.0050878099,0,5809,58097
0,5,k,scatter,37824,591,5808,0.0050878099,0,5809,58097
0,8,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
0,9,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
0,12,attn_res,add,37824,591,11617,0.0025436860,0,11618,58097
2,0,q,reduce,151296,2364,5808,0.0203512397,0,5809,58097
2,3,q,scatter,37824,591,5808,0.0050878099,0,5809,58097
2,6,k,scatter,37824,591,5808,0.0050878099,0,5809,58097
2,7,k,scatter,37824,591,5808,0.0050878099,0,5809,58097
2,10,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
2,11,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
2,13,attn_res,add,37824,591,11617,0.0025436860,0,11618,58097
3,1,q,reduce,151296,2364,5808,0.0203512397,0,5809,58097
6,4,k,reduce,151296,2364,5808,0.0203512397,0,5809,58097
7,5,k,reduce,151296,2364,5808,0.0203512397,0,5809,58097
8,12,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
8,13,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
9,14,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
9,15,v,scatter,37824,591,5808,0.0050878099,0,5809,58097
10,8,v,reduce,151296,2364,5808,0.0203512397,0,5809,58097
11,9,v,reduce,151296,2364,5808,0.0203512397,0,5809,58097
12,16,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
12,17,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
12,18,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
12,19,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
12,20,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
12,21,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
12,28,ffn_res,add,37824,591,46477,0.0006357984,11618,58096,58097
13,22,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
13,23,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
13,24,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
13,25,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
13,26,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
13,27,o,scatter,37824,591,5808,0.0050878099,5809,11618,58097
13,29,ffn_res,add,37824,591,46477,0.0006357984,11618,58096,58097
14,12,o,reduce,151296,2364,5808,0.0203512397,5809,11618,58097
15,13,o,reduce,151296,2364,5808,0.0203512397,5809,11618,58097
16,28,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
16,29,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
17,30,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
17,31,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
18,32,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
18,33,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
19,34,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
19,35,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
20,36,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
20,37,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
21,38,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
21,39,ff1,scatter,50432,788,23238,0.0016954988,11618,34857,58097
22,16,ff1,reduce,201728,3152,23238,0.0067819950,11618,34857,58097
23,17,ff1,reduce,201728,3152,23238,0.0067819950,11618,34857,58097
24,18,ff1,reduce,201728,3152,23238,0.0067819950,11618,34857,58097
25,19,ff1,reduce,201728,3152,23238,0.0067819950,11618,34857,58097
26,20,ff1,reduce,201728,3152,23238,0.0067819950,11618,34857,58097
27,21,ff1,reduce,201728,3152,23238,0.0067819950,11618,34857,58097
30,28,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
31,29,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
32,28,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
33,29,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
34,28,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
35,29,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
36,28,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
37,29,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
38,28,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
39,29,ff2,reduce,151296,2364,23238,0.0050864963,34857,58096,58097
