src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,3,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,6,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,9,attn_res,add,25216,394,2903,0.0067860834,0,2904,14523
0,36,q,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,39,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,42,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,72,q,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,75,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
0,78,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,0,q,reduce,50432,788,1451,0.0271536871,0,1452,14523
1,4,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,7,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,37,q,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,40,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,43,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,45,attn_res,add,25216,394,2903,0.0067860834,0,2904,14523
1,73,q,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,76,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
1,79,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,0,q,reduce,50432,788,1451,0.0271536871,0,1452,14523
2,5,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,8,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,38,q,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,41,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,44,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,74,q,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,77,k,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,80,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
2,81,attn_res,add,25216,394,2903,0.0067860834,0,2904,14523
4,3,k,reduce,50432,788,1451,0.0271536871,0,1452,14523
5,3,k,reduce,50432,788,1451,0.0271536871,0,1452,14523
6,9,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
6,45,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
6,81,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
7,6,v,reduce,50432,788,1451,0.0271536871,0,1452,14523
8,6,v,reduce,50432,788,1451,0.0271536871,0,1452,14523
9,12,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,13,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,14,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,15,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,24,ffn_res,add,25216,394,11617,0.0016957907,2904,14522,14523
9,48,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,49,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,50,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,51,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,84,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,85,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,86,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
9,87,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
10,9,o,reduce,50432,788,1451,0.0271536871,1452,2904,14523
11,9,o,reduce,50432,788,1451,0.0271536871,1452,2904,14523
12,24,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
12,60,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
12,96,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
13,27,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
13,63,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
13,99,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
14,30,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
14,66,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
14,102,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
15,33,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
15,69,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
15,105,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
16,12,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
17,13,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
18,14,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
19,15,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
20,12,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
21,13,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
22,14,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
23,15,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
25,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
26,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
27,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
28,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
29,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
30,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
31,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
32,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
33,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
34,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
35,24,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
37,36,q,reduce,50432,788,1451,0.0271536871,0,1452,14523
38,36,q,reduce,50432,788,1451,0.0271536871,0,1452,14523
40,39,k,reduce,50432,788,1451,0.0271536871,0,1452,14523
41,39,k,reduce,50432,788,1451,0.0271536871,0,1452,14523
42,10,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
42,46,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
42,82,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
43,42,v,reduce,50432,788,1451,0.0271536871,0,1452,14523
44,42,v,reduce,50432,788,1451,0.0271536871,0,1452,14523
45,16,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,17,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,18,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,19,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,52,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,53,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,54,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,55,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,60,ffn_res,add,25216,394,11617,0.0016957907,2904,14522,14523
45,88,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,89,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,90,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
45,91,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
46,45,o,reduce,50432,788,1451,0.0271536871,1452,2904,14523
47,45,o,reduce,50432,788,1451,0.0271536871,1452,2904,14523
48,25,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
48,61,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
48,97,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
49,28,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
49,64,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
49,100,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
50,31,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
50,67,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
50,103,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
51,34,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
51,70,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
51,106,ff1,scatter,25216,394,5808,0.0033918733,2904,8713,14523
52,48,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
53,49,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
54,50,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
55,51,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
56,48,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
57,49,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
58,50,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
59,51,ff1,reduce,50432,788,5808,0.0067837466,2904,8713,14523
61,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
62,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
63,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
64,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
65,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
66,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
67,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
68,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
69,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
70,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
71,60,ff2,reduce,50432,788,5808,0.0067837466,8713,14522,14523
73,72,q,reduce,50432,788,1451,0.0271536871,0,1452,14523
74,72,q,reduce,50432,788,1451,0.0271536871,0,1452,14523
76,75,k,reduce,50432,788,1451,0.0271536871,0,1452,14523
77,75,k,reduce,50432,788,1451,0.0271536871,0,1452,14523
78,11,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
78,47,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
78,83,v,scatter,25216,394,1451,0.0135768436,0,1452,14523
79,78,v,reduce,50432,788,1451,0.0271536871,0,1452,14523
80,78,v,reduce,50432,788,1451,0.0271536871,0,1452,14523
81,20,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,21,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,22,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,23,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,56,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,57,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,58,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,59,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,92,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,93,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,94,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,95,o,scatter,25216,394,1451,0.0135768436,1452,2904,14523
81,96,ffn_res,add,25216,394,11617,0.0016957907,2904,14522,14523
82,81,o,reduce,50432,788,1451,0.0271536871,1452,2904,14523
83,81,o,reduce,50432,788,1451,0.0271536871,1452,2904,14523
